Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
,180.000,-84.000,-9.944,9.786,,135.45882106709604,13.951664130131574,0.000,0.000,,0.000,0,0,180
,-176,-84.000,-9.387,10.458,,131.91084362466347,14.052954600367855,0.000,0.000,,0.000,0,0,180
,-172,-84.000,-8.785,11.089,,128.3871991617852,14.147160351109337,0.000,0.000,,0.000,0,0,180
,-168,-84.000,-8.140,11.677,,124.88023174037887,14.234181711640469,0.000,0.000,,0.000,0,0,180
,-164,-84.000,-7.455,12.218,,121.39009434757564,14.312810660383935,0.000,0.000,,0.000,0,0,180
,-160,-84.000,-6.734,12.711,,117.91362983459838,14.384584700296356,0.000,0.000,,0.000,0,0,180
,-156,-84.000,-5.981,13.153,,114.45248738435454,14.449005848154398,0.000,0.000,,0.000,0,0,180
,-152,-84.000,-5.198,13.541,,111.00035809697201,14.504409157218367,0.000,0.000,,0.000,0,0,180
,-148,-84.000,-4.389,13.874,,107.55461741444425,14.55167334020387,0.000,0.000,,0.000,0,0,180
,-144,-84.000,-3.560,14.150,,104.12195849966288,14.590959529791041,0.000,0.000,,0.000,0,0,180
,-140,-84.000,-2.713,14.368,,100.69283145995595,14.621894302722886,0.000,0.000,,0.000,0,0,180
,-136,-84.000,-1.853,14.526,,97.26963740102103,14.643711448946267,0.000,0.000,,0.000,0,0,180
,-132,-84.000,-0.984,14.625,,93.84917632443401,14.658065390766955,0.000,0.000,,0.000,0,0,180
,-128,-84.000,-0.110,14.663,,90.42981773980615,14.663412597345816,0.000,0.000,,0.000,0,0,180
,-124,-84.000,0.765,14.640,,87.00878122061613,14.659973567506867,0.000,0.000,,0.000,0,0,180
,-120,-84.000,1.636,14.557,,83.58767510477546,14.648643111223647,0.000,0.000,,0.000,0,0,180
,-116,-84.000,2.499,14.413,,80.1635544254191,14.628040538636744,0.000,0.000,,0.000,0,0,180
,-112,-84.000,3.349,14.210,,76.73858119139797,14.599311661855843,0.000,0.000,,0.000,0,0,180
,-108,-84.000,4.184,13.948,,73.30226323231611,14.562024584514338,0.000,0.000,,0.000,0,0,180
,-104,-84.000,4.998,13.630,,69.8624614241591,14.517468925401563,0.000,0.000,,0.000,0,0,180
,-100,-84.000,5.787,13.255,,66.41440122762727,14.463208288619784,0.000,0.000,,0.000,0,0,180
,-96,-84.000,6.549,12.827,,62.95279530530995,14.402129356452816,0.000,0.000,,0.000,0,0,180
,-92,-84.000,7.278,12.346,,59.48053671566784,14.331538647333021,0.000,0.000,,0.000,0,0,180
,-88,-84.000,7.972,11.817,,55.99555855283433,14.254622864179888,0.000,0.000,,0.000,0,0,180
,-84,-84.000,8.627,11.240,,52.492798924479935,14.169076504839687,0.000,0.000,,0.000,0,0,180
,-80,-84.000,9.241,10.620,,48.97181806681091,14.077658931796863,0.000,0.000,,0.000,0,0,180
,-76,-84.000,9.809,9.958,,45.43187683839923,13.977776826090764,0.000,0.000,,0.000,0,0,180
,-72,-84.000,10.329,9.259,,41.87330941847499,13.871457097219455,0.000,0.000,,0.000,0,0,180
,-68,-84.000,10.799,8.525,,38.2884428875647,13.758416551333223,0.000,0.000,,0.000,0,0,180
,-64,-84.000,11.217,7.760,,34.675759242305,13.639600030792693,0.000,0.000,,0.000,0,0,180
,-60,-84.000,11.579,6.969,,31.042281700382365,13.514444198708286,0.000,0.000,,0.000,0,0,180
,-56,-84.000,11.886,6.154,,27.372951213359023,13.384644634804465,0.000,0.000,,0.000,0,0,180
,-52,-84.000,12.134,5.320,,23.674444933751396,13.249013397230755,0.000,0.000,,0.000,0,0,180
,-48,-84.000,12.324,4.470,,19.93605830498669,13.10961006285084,0.000,0.000,,0.000,0,0,180
,-44,-84.000,12.453,3.610,,16.16634451214449,12.965697397363552,0.000,0.000,,0.000,0,0,180
,-40,-84.000,12.521,2.742,,12.35232409796363,12.817722301563567,0.000,0.000,,0.000,0,0,180
,-36,-84.000,12.529,1.872,,8.497890472693326,12.66807897828238,0.000,0.000,,0.000,0,0,180
,-32,-84.000,12.476,1.004,,4.6009348267408745,12.516333009312273,0.000,0.000,,0.000,0,0,180
,-28,-84.000,12.362,0.141,,0.6534828187619741,12.362804091305499,0.000,0.000,,0.000,0,0,180
,-24,-84.000,12.187,-0.711,,-3.338900042383104,12.207722555825061,0.000,0.000,,0.000,0,0,180
,-20,-84.000,11.953,-1.550,,-7.388574839861716,12.053078818293688,0.000,0.000,,0.000,0,0,180
,-16,-84.000,11.661,-2.370,,-11.488405771161663,11.899404228783892,0.000,0.000,,0.000,0,0,180
,-12,-84.000,11.313,-3.168,,-15.643937146798166,11.748199564188548,0.000,0.000,,0.000,0,0,180
,-8,-84.000,10.909,-3.939,,-19.853536529446263,11.598362039529547,0.000,0.000,,0.000,0,0,180
,-4,-84.000,10.452,-4.681,,-24.1255492587233,11.452338844096433,0.000,0.000,,0.000,0,0,180
0.000,,0.000,-5.389,-84.000,,-93.6707665204032,84.17268750016243,0.000,9.944,,0.000,24.33945085198103,0,0.5794094797626421
0.000,,4.000,-6.061,-84.000,,-94.12701107958458,84.21838113499926,0.000,9.387,,0.000,22.976108723606796,0,0.6502050720953055
0.000,,8.000,-6.692,-84.000,,-94.5549436182643,84.26614304689636,0.000,8.785,,0.000,21.502622258110755,0,0.7423604006724613
