Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
,180.000,-84.000,-85.212,59.255,,145.18589438236526,103.78940200714136,0.000,0.000,,0.000,0,0,180
,-176,-84.000,-81.500,65.045,,141.40669697173757,104.2741675823883,0.000,0.000,,0.000,0,0,180
,-172,-84.000,-77.392,70.563,,137.64266419504716,104.73136413224073,0.000,0.000,,0.000,0,0,180
,-168,-84.000,-72.906,75.783,,133.8915159096789,105.15867974161715,0.000,0.000,,0.000,0,0,180
,-164,-84.000,-68.066,80.678,,130.15348453575757,105.55529375640049,0.000,0.000,,0.000,0,0,180
,-160,-84.000,-62.893,85.227,,126.42535570294345,105.92058807427384,0.000,0.000,,0.000,0,0,180
,-156,-84.000,-57.415,89.405,,122.70817253026794,106.25317054093021,0.000,0.000,,0.000,0,0,180
,-152,-84.000,-51.656,93.193,,118.99918945818415,106.55176012154844,0.000,0.000,,0.000,0,0,180
,-148,-84.000,-45.646,96.572,,115.29836317687855,106.81623706160033,0.000,0.000,,0.000,0,0,180
,-144,-84.000,-39.414,99.526,,111.60441371646982,107.0461959716458,0.000,0.000,,0.000,0,0,180
,-140,-84.000,-32.989,102.041,,107.91558530217934,107.2410359983528,0.000,0.000,,0.000,0,0,180
,-136,-84.000,-26.404,104.103,,104.23200915178337,107.39928223689392,0.000,0.000,,0.000,0,0,180
,-132,-84.000,-19.690,105.704,,100.55183004982824,107.52223823935213,0.000,0.000,,0.000,0,0,180
,-128,-84.000,-12.881,106.835,,96.87491550422217,107.60872355901262,0.000,0.000,,0.000,0,0,180
,-124,-84.000,-6.008,107.491,,93.1991073539211,107.65877179774995,0.000,0.000,,0.000,0,0,180
,-120,-84.000,0.894,107.669,,89.52427114785775,107.67271147788561,0.000,0.000,,0.000,0,0,180
,-116,-84.000,7.791,107.367,,85.84965228030703,107.64930269165704,0.000,0.000,,0.000,0,0,180
,-112,-84.000,14.651,106.588,,82.17348222015812,107.59021119507108,0.000,0.000,,0.000,0,0,180
,-108,-84.000,21.439,105.335,,78.495637643097,107.4946182187741,0.000,0.000,,0.000,0,0,180
,-104,-84.000,28.122,103.613,,74.81495000746736,107.3615417782364,0.000,0.000,,0.000,0,0,180
,-100,-84.000,34.669,101.433,,71.12997617929523,107.19418384408736,0.000,0.000,,0.000,0,0,180
,-96,-84.000,41.047,98.803,,67.43990777417005,106.990135143386,0.000,0.000,,0.000,0,0,180
,-92,-84.000,47.225,95.737,,63.74386906846365,106.7509896628598,0.000,0.000,,0.000,0,0,180
,-88,-84.000,53.172,92.251,,60.041539912084666,106.47773750883329,0.000,0.000,,0.000,0,0,180
