Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
,180.000,-84.000,13.033,11.356,,41.06650456569406,17.286347937028225,0.000,0.000,,0.000,0,0,180
,-176,-84.000,13.639,10.430,,37.40582441188263,17.16995110651163,0.000,0.000,,0.000,0,0,180
,-172,-84.000,14.179,9.464,,33.721761275345315,17.0473263886159,0.000,0.000,,0.000,0,0,180
,-168,-84.000,14.650,8.463,,30.014131926087884,16.918772680073456,0.000,0.000,,0.000,0,0,180
,-164,-84.000,15.049,7.431,,26.27955936815418,16.783687377927414,0.000,0.000,,0.000,0,0,180
,-160,-84.000,15.376,6.375,,22.519247194508655,16.645179512399377,0.000,0.000,,0.000,0,0,180
,-156,-84.000,15.627,5.298,,18.72812883045205,16.500664622978068,0.000,0.000,,0.000,0,0,180
,-152,-84.000,15.802,4.206,,14.904784146963735,16.35217539044882,0.000,0.000,,0.000,0,0,180
,-148,-84.000,15.900,3.105,,11.049829941237228,16.20034027420412,0.000,0.000,,0.000,0,0,180
,-144,-84.000,15.921,2.000,,7.160004645999193,16.04612853619215,0.000,0.000,,0.000,0,0,180
,-140,-84.000,15.864,0.896,,3.232635800157751,15.889282929068889,0.000,0.000,,0.000,0,0,180
,-136,-84.000,15.730,-0.201,,-0.7320931302626116,15.73128414974442,0.000,0.000,,0.000,0,0,180
,-132,-84.000,15.519,-1.286,,-4.737058435822754,15.572191785358925,0.000,0.000,,0.000,0,0,180
,-128,-84.000,15.233,-2.354,,-8.784597401898042,15.413812150146375,0.000,0.000,,0.000,0,0,180
,-124,-84.000,14.872,-3.400,,-12.877512146604797,15.255700049489699,0.000,0.000,,0.000,0,0,180
,-120,-84.000,14.439,-4.418,,-17.012898821439727,15.099782945459845,0.000,0.000,,0.000,0,0,180
,-116,-84.000,13.936,-5.403,,-21.19135770730147,14.946722215924131,0.000,0.000,,0.000,0,0,180
,-112,-84.000,13.365,-6.351,,-25.41689915794878,14.797243864990536,0.000,0.000,,0.000,0,0,180
,-108,-84.000,12.728,-7.258,,-29.693467991051232,14.651981026468741,0.000,0.000,,0.000,0,0,180
,-104,-84.000,12.030,-8.117,,-34.00871479951527,14.51229096318014,0.000,0.000,,0.000,0,0,180
,-100,-84.000,11.273,-8.927,,-38.37542568572127,14.379563901593121,0.000,0.000,,0.000,0,0,180
,-96,-84.000,10.461,-9.681,,-42.782326071767464,14.25322005723619,0.000,0.000,,0.000,0,0,180
,-92,-84.000,9.598,-10.378,,-47.23608410634557,14.135928975486543,0.000,0.000,,0.000,0,0,180
,-88,-84.000,8.688,-11.013,,-51.73059082853011,14.027384396244369,0.000,0.000,,0.000,0,0,180
,-84,-84.000,7.736,-11.584,,-56.26430029227541,13.929635745417036,0.000,0.000,,0.000,0,0,180
,-80,-84.000,6.747,-12.087,,-60.82961289780543,13.842600117030036,0.000,0.000,,0.000,0,0,180
,-76,-84.000,5.724,-12.520,,-65.43066569299344,13.766429311916724,0.000,0.000,,0.000,0,0,180
,-72,-84.000,4.674,-12.881,,-70.05618927363362,13.702789387566314,0.000,0.000,,0.000,0,0,180
,-68,-84.000,3.600,-13.168,,-74.70954262162496,13.651235255463147,0.000,0.000,,0.000,0,0,180
,-64,-84.000,2.510,-13.380,,-79.3751738579672,13.613394139596489,0.000,0.000,,0.000,0,0,180
,-60,-84.000,1.407,-13.516,,-84.05698111004344,13.589036205706423,0.000,0.000,,0.000,0,0,180
,-56,-84.000,0.297,-13.575,,-88.74665693095584,13.578248561578183,0.000,0.000,,0.000,0,0,180
,-52,-84.000,-0.814,-13.558,,-93.43581998218092,13.58241362939592,0.000,0.000,,0.000,0,0,180
,-48,-84.000,-1.922,-13.463,,-98.12473997970727,13.599501939409398,0.000,0.000,,0.000,0,0,180
,-44,-84.000,-3.020,-13.291,,-102.80147116739337,13.629786535379049,0.000,0.000,,0.000,0,0,180
,-40,-84.000,-4.103,-13.044,,-107.46100776214764,13.674082967424178,0.000,0.000,,0.000,0,0,180
,-36,-84.000,-5.166,-12.722,,-112.10050837460055,13.73087178586997,0.000,0.000,,0.000,0,0,180
,-32,-84.000,-6.204,-12.327,,-116.71544807517557,13.800164672930537,0.000,0.000,,0.000,0,0,180
,-28,-84.000,-7.212,-11.861,,-121.30140704845934,13.881508023266061,0.000,0.000,,0.000,0,0,180
,-24,-84.000,-8.185,-11.326,,-125.85464190130469,13.97399373836986,0.000,0.000,,0.000,0,0,180
,-20,-84.000,-9.118,-10.725,,-130.36996369005072,14.077057540551577,0.000,0.000,,0.000,0,0,180
,-16,-84.000,-10.006,-10.061,,-134.84296307458058,14.18956507437772,0.000,0.000,,0.000,0,0,180
,-12,-84.000,-10.846,-9.337,,-139.27581472914156,14.311369081957185,0.000,0.000,,0.000,0,0,180
,-8,-84.000,-11.632,-8.556,,-143.66339577687427,14.439825483709972,0.000,0.000,,0.000,0,0,180
,-4,-84.000,-12.363,-7.723,,-148.0075326008943,14.576985216429355,0.000,0.000,,0.000,0,0,180
0.000,,0.000,-6.841,-84.000,,-94.65592016735067,84.27810677156909,0.000,-13.033,,0.000,31.90024768240836,0,0.3373096954438867
0.000,,4.000,-5.915,-84.000,,-94.02792908282133,84.20799976843055,0.000,-13.639,,0.000,33.38352475564855,0,0.3080018962285872
0.000,,8.000,-4.949,-84.000,,-93.37177860471965,84.14566299578368,0.000,-14.179,,0.000,34.70525680111012,0,0.28498883486644727
0.000,,12.000,-3.947,-84.000,,-92.69024079826495,84.09267987762074,0.000,-14.650,,0.000,35.85810086298492,0,0.2669587992772423
0.000,,16.000,-2.916,-84.000,,-91.9881836755155,84.05059818942397,0.000,-15.049,,0.000,36.83471398546485,0,0.2529906818569098
0.000,,20.000,-1.859,-84.000,,-91.26780321390737,84.02056820207775,0.000,-15.376,,0.000,37.63509616854991,0,0.24234457475702262
0.000,,24.000,-0.782,-84.000,,-90.5333810150327,84.00363994494525,0.000,-15.627,,0.000,38.24945680449593,0,0.23462213401485413
0.000,,28.000,0.309,-84.000,,-89.7892343331878,84.00056833736305,0.000,-15.802,,0.000,38.677795893302914,0,0.22945429731727252
0.000,,32.000,1.410,-84.000,,-89.03833972772908,84.01183309510631,0.000,-15.900,,0.000,38.91766578303483,0,0.22663455042788141
0.000,,36.000,2.515,-84.000,,-88.2850494008292,84.0376417148887,0.000,-15.921,,0.000,38.96906647369167,0,0.2260370832663611
0.000,,40.000,3.619,-84.000,,-87.53303245120921,84.07792314870771,0.000,-15.864,,0.000,38.82955031333739,0,0.22766430527177217
0.000,,44.000,4.716,-84.000,,-86.78662461101868,84.13228070128612,0.000,-15.730,,0.000,38.501564953908044,0,0.2315596170317853
0.000,,48.000,5.802,-84.000,,-86.04877426822442,84.20013779086113,0.000,-15.519,,0.000,37.985110395403616,0,0.23789902951463088
0.000,,52.000,6.870,-84.000,,-85.32443002845311,84.28046570825295,0.000,-15.233,,0.000,37.2850819416962,0,0.24691590155155446
0.000,,56.000,7.915,-84.000,,-84.6171301604069,84.37207609748619,0.000,-14.872,,0.000,36.40147959278579,0,0.25904840322025574
0.000,,60.000,8.933,-84.000,,-83.92968178148169,84.47365559155115,0.000,-14.439,,0.000,35.3416463044805,0,0.274817933187401
0.000,,64.000,9.919,-84.000,,-83.26550900549455,84.58360692829315,0.000,-13.936,,0.000,34.11047738065241,0,0.2950139273171421
0.000,,68.000,10.867,-84.000,,-82.62864084628389,84.70000997048348,0.000,-13.365,,0.000,32.712868125173614,0,0.3207599736246947
0.000,,72.000,11.773,-84.000,,-82.02169304283181,84.82100877141228,0.000,-12.728,,0.000,31.153713841916186,0,0.35366882800491206
