Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
,180.000,-84.000,-42.619,4.569,,173.8809363304719,42.86321175553694,0.000,0.000,,0.000,0,0,180
,-176,-84.000,-42.842,7.537,,170.022311402537,43.49992336774859,0.000,0.000,,0.000,0,0,180
,-172,-84.000,-42.856,10.513,,166.21695135701768,44.12663487056316,0.000,0.000,,0.000,0,0,180
,-168,-84.000,-42.661,13.483,,162.4608702214629,44.74094556443795,0.000,0.000,,0.000,0,0,180
,-164,-84.000,-42.258,16.432,,158.75145742103672,45.34037039989859,0.000,0.000,,0.000,0,0,180
,-160,-84.000,-41.650,19.346,,155.08561250344223,45.92374348852671,0.000,0.000,,0.000,0,0,180
,-156,-84.000,-40.838,22.211,,151.45908404033943,46.4873183244635,0.000,0.000,,0.000,0,0,180
,-152,-84.000,-39.828,25.013,,147.87013084671665,47.03105094509371,0.000,0.000,,0.000,0,0,180
,-148,-84.000,-38.624,27.737,,144.31679048746292,47.55159876386913,0.000,0.000,,0.000,0,0,180
,-144,-84.000,-37.231,30.372,,140.79340439233252,48.04795255783539,0.000,0.000,,0.000,0,0,180
,-140,-84.000,-35.657,32.903,,137.3002886430092,48.51833733754692,0.000,0.000,,0.000,0,0,180
,-136,-84.000,-33.909,35.319,,133.83319060476208,48.96174059405977,0.000,0.000,,0.000,0,0,180
,-132,-84.000,-31.997,37.608,,130.39123698820194,49.377825721673894,0.000,0.000,,0.000,0,0,180
,-128,-84.000,-29.928,39.758,,126.97075741975273,49.763277102698936,0.000,0.000,,0.000,0,0,180
,-124,-84.000,-27.713,41.760,,123.56926545162817,50.118938226981626,0.000,0.000,,0.000,0,0,180
,-120,-84.000,-25.364,43.604,,120.18612519592932,50.44443786979888,0.000,0.000,,0.000,0,0,180
,-116,-84.000,-22.891,45.279,,116.81908240038503,50.736433871528654,0.000,0.000,,0.000,0,0,180
,-112,-84.000,-20.306,46.780,,113.46443011784162,50.99707870064716,0.000,0.000,,0.000,0,0,180
,-108,-84.000,-17.622,48.097,,110.12205607630894,51.22359117633203,0.000,0.000,,0.000,0,0,180
,-104,-84.000,-14.853,49.225,,106.79050173910062,51.41704225254502,0.000,0.000,,0.000,0,0,180
,-100,-84.000,-12.011,50.158,,103.46665364955354,51.57605146771125,0.000,0.000,,0.000,0,0,180
,-96,-84.000,-9.111,50.891,,100.15011474634204,51.700137349914264,0.000,0.000,,0.000,0,0,180
,-92,-84.000,-6.166,51.422,,96.8376767364304,51.790362423910494,0.000,0.000,,0.000,0,0,180
,-88,-84.000,-3.191,51.747,,93.52869952212406,51.84529380763504,0.000,0.000,,0.000,0,0,180
,-84,-84.000,-0.201,51.865,,90.22204558039418,51.86538948084744,0.000,0.000,,0.000,0,0,180
,-80,-84.000,2.790,51.775,,86.91548499979953,51.85011788800484,0.000,0.000,,0.000,0,0,180
,-76,-84.000,5.768,51.477,,83.60667303938868,51.79914432690949,0.000,0.000,,0.000,0,0,180
,-72,-84.000,8.717,50.974,,80.29579038969355,51.713970694581164,0.000,0.000,,0.000,0,0,180
,-68,-84.000,11.625,50.268,,76.97866467329202,51.594694000449316,0.000,0.000,,0.000,0,0,180
,-64,-84.000,14.475,49.362,,73.65665939062043,51.44057415115038,0.000,0.000,,0.000,0,0,180
,-60,-84.000,17.255,48.260,,70.32587202376557,51.25195240183538,0.000,0.000,,0.000,0,0,180
,-56,-84.000,19.951,46.967,,66.98481574298913,51.028829988546676,0.000,0.000,,0.000,0,0,180
,-52,-84.000,22.549,45.491,,63.63328365138177,50.77291090729386,0.000,0.000,,0.000,0,0,180
,-48,-84.000,25.038,43.839,,60.26778775304767,50.48523908034902,0.000,0.000,,0.000,0,0,180
,-44,-84.000,27.405,42.017,,56.88616233609074,50.1643530208454,0.000,0.000,,0.000,0,0,180
,-40,-84.000,29.639,40.036,,53.487130948991314,49.81316710469231,0.000,0.000,,0.000,0,0,180
,-36,-84.000,31.728,37.905,,50.06932137447208,49.43131607594522,0.000,0.000,,0.000,0,0,180
,-32,-84.000,33.662,35.634,,46.63006221996172,49.01950836146768,0.000,0.000,,0.000,0,0,180
,-28,-84.000,35.432,33.235,,43.167447234255846,48.579747313052174,0.000,0.000,,0.000,0,0,180
,-24,-84.000,37.030,30.718,,39.67718679972086,48.11253915560891,0.000,0.000,,0.000,0,0,180
,-20,-84.000,38.447,28.097,,36.15926898433376,47.61946259671564,0.000,0.000,,0.000,0,0,180
,-16,-84.000,39.677,25.383,,32.608710555494916,47.10160313619909,0.000,0.000,,0.000,0,0,180
,-12,-84.000,40.714,22.591,,29.02460449679089,46.561605180663605,0.000,0.000,,0.000,0,0,180
,-8,-84.000,41.552,19.734,,25.404117831009938,45.99999413043441,0.000,0.000,,0.000,0,0,180
