Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,1.858,-23.373,,-85.45491950001806,23.4467330986643,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,29.719,-66.957,,-66.06586154998536,73.25611790151045,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,1.917,-20.676,,-84.70289730917489,20.764678302347956,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-2.502,-3.994,,-122.06466090403141,4.712965096412237,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-3.221,-4.490,,-125.65459549258681,5.525843012609027,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-2.783,-3.546,,-128.12581482209004,4.507682885918218,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-1.419,-4.352,,-108.05891974487912,4.577495494263212,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-1.654,-3.211,,-117.25319176425675,3.6119575025185444,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-1.857,-2.917,,-122.48135877781328,3.4579384031529536,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-1.773,-3.855,,-114.69875001378713,4.2431773472246,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,35.462,-39.941,,-48.39942177928843,53.41195488839554,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,11.520,-33.149,,-70.83654641220494,35.09368320652593,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,27.345,-42.657,,-57.338354985281185,50.669208341950636,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,20.759,-38.646,,-61.757184770418604,43.8685467846839,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,7.411,-26.363,,-74.29860034085837,27.38486242433947,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,12.048,-37.689,,-72.27254012900102,39.56785342926755,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,4.468,-31.161,,-81.84029673810674,31.47969099276548,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,4.005,-30.925,,-82.6208742447893,31.18325913050142,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-11.165,-4.049,,-160.0667657009471,11.876515734844121,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,3.350,-19.775,,-80.38504595350413,20.05674761769714,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,12.682,-27.234,,-65.03011521873319,30.04203521734172,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,46.459,-71.188,,-56.87056754811761,85.00688222138253,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,30.071,-37.066,,-50.94818219938756,47.73000520636888,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,33.064,-56.541,,-59.681792678079944,65.498952487807,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,9.121,-12.314,,-53.47259122075359,15.324073772988696,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,7.688,-27.162,,-74.1962332008744,28.229055740495465,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,20.160,-15.915,,-38.28878093899219,25.684875413363407,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,8.845,5.470,,31.73382742395848,10.399756006753236,6.000,-5.125,,4.000,NaN,30.397144279686337,NaN
0.000,,95.250,6.843,5.365,,38.09690240714481,8.695393838119122,6.000,-4.126,,4.000,NaN,27.47367485595352,NaN
0.029,,95.253,9.843,5.398,,28.740805801809127,11.225998975592328,6.000,-2.126,,4.000,NaN,21.006579648002848,NaN
0.029,,95.272,9.847,5.517,,29.260696042379642,11.287191767663026,6.000,-0.127,,4.000,NaN,14.738107514116173,NaN
0.028,,95.308,0.846,5.536,,81.31139796358646,5.600268922114365,6.000,-3.128,,4.000,NaN,24.36611786137641,NaN
0.022,,95.321,-0.153,5.554,,91.57796863038452,5.55610700040955,6.000,-1.128,,4.000,NaN,17.44511507059105,NaN
0.025,,95.354,-2.153,5.581,,111.09527578031809,5.981886826077538,6.000,2.870,,4.000,NaN,23.525910498014753,NaN
-0.065,,95.399,9.849,5.616,,29.692228391538006,11.337647771914597,6.000,-7.132,,4.000,NaN,35.8697535643388,NaN
0.023,,95.405,-0.151,5.630,,91.53633909269612,5.63202459156563,6.000,-0.132,,4.000,NaN,14.74226061091268,NaN
0.026,,95.488,1.848,5.606,,71.75536111310957,5.9027400417094436,6.000,-3.135,,4.000,NaN,24.388686419484344,NaN
0.026,,95.539,10.847,5.598,,27.29768847760911,12.206351338545026,6.000,-8.137,,4.000,NaN,38.466055957426676,NaN
0.000,,16.233,5.778,45.860,,82.81901904786909,46.222558172390244,2.000,-2.481,,2.000,NaN,9.498663097277884,NaN
0.000,,16.183,4.421,45.807,,84.48725070424703,46.01984886980834,2.000,-1.701,,2.000,NaN,7.845158038274275,NaN
0.000,,16.139,4.093,45.850,,84.89876456305963,46.032327216859244,2.000,-4.220,,2.000,NaN,13.21314735408921,NaN
0.000,,16.135,4.137,45.926,,84.85270606594645,46.11195338521239,2.000,-4.622,,2.000,NaN,14.083311424911292,NaN
0.000,,16.132,5.062,45.893,,83.70571623767624,46.1713254412303,2.000,-4.123,,2.000,NaN,13.003946434383444,NaN
0.000,,16.116,5.351,45.774,,83.33236186105378,46.08570577738829,2.000,-3.430,,2.000,NaN,11.51728705648628,NaN
0.000,,16.091,4.903,45.976,,83.91283547400108,46.2366952214364,2.000,-3.041,,2.000,NaN,10.688033499190043,NaN
0.000,,16.085,5.158,45.903,,83.58871678701107,46.19188644123554,2.000,-4.343,,2.000,NaN,13.478844240632261,NaN
0.000,,16.078,4.340,45.928,,84.60182283920098,46.132600013439514,2.000,-4.946,,2.000,NaN,14.788461464711803,NaN
0.000,,16.076,4.641,45.793,,84.21298297299076,46.02757575627898,2.000,-3.447,,2.000,NaN,11.553603313183569,NaN
0.000,,16.066,5.887,45.731,,82.66459617740738,46.10836290739458,2.000,-2.651,,2.000,NaN,9.859336093362637,NaN
0.000,,16.025,4.292,45.730,,84.6381978979124,45.930971729324426,2.000,-2.968,,2.000,NaN,10.532745802261246,NaN
0.000,,16.017,4.732,45.811,,84.10260656143156,46.05474508669003,2.000,-3.072,,2.000,NaN,10.754005931271726,NaN
0.000,,16.015,4.784,45.876,,84.0466505381466,46.12476592894537,2.000,-3.473,,2.000,NaN,11.609159350985829,NaN
0.000,,16.010,6.910,45.707,,81.40310528264303,46.226377199603256,2.000,-1.875,,2.000,NaN,8.21395004275104,NaN
0.000,,15.981,5.263,45.773,,83.44090928427421,46.07457756724418,2.000,-1.986,,2.000,NaN,8.449238822504428,NaN
0.000,,15.975,3.901,45.993,,85.15193266295579,46.15813958555955,2.000,-5.189,,2.000,NaN,15.319603217183078,NaN
0.000,,15.940,5.995,45.869,,82.55374706889543,46.25910922186029,2.000,-3.204,,2.000,NaN,11.035124842018671,NaN
0.000,,15.907,6.605,45.725,,81.78044979530995,46.19958495484565,2.000,-0.918,,2.000,NaN,6.200980698739564,NaN
0.000,,15.895,5.857,45.791,,82.71103336122377,46.16405668916023,2.000,-2.623,,2.000,NaN,9.799913698045616,NaN
0.000,,15.883,4.339,45.681,,84.57405141546306,45.88660678237169,2.000,-1.328,,2.000,NaN,7.055953107976767,NaN
0.000,,15.881,5.012,45.853,,83.76200225602015,46.12610706530522,2.000,-1.729,,2.000,NaN,7.90449616547605,NaN
0.000,,15.836,5.693,45.749,,82.90658469394143,46.10185733785571,2.000,-3.048,,2.000,NaN,10.702928982722266,NaN
0.000,,15.826,3.933,45.831,,85.09516337382732,45.999446192318445,2.000,-3.353,,2.000,NaN,11.352881412568504,NaN
0.000,,15.822,5.520,45.715,,83.11497507468935,46.04705880943972,2.000,-2.653,,2.000,NaN,9.863580849202,NaN
0.000,,15.812,5.463,45.927,,83.21656096949978,46.25076970170335,2.000,-2.558,,2.000,NaN,9.661996974983857,NaN
0.000,,15.795,3.764,45.658,,85.28725002623386,45.81288748812937,2.000,-2.565,,2.000,NaN,9.676847778171044,NaN
0.000,,15.768,6.079,45.775,,82.43528431657026,46.17688670752934,2.000,-4.477,,2.000,NaN,13.768848724946425,NaN
0.000,,15.759,5.113,45.866,,83.63910589129175,46.15011077993205,2.000,-1.681,,2.000,NaN,7.802776770027098,NaN
0.000,,88.936,13.201,26.965,,63.915453621327536,30.022951653693212,1.100,28.505,,0.700,69.79578852951958,1.9220687598477033,0.07056836288456615
0.000,,88.791,11.092,27.010,,67.67387184027375,29.19884525113964,1.700,27.912,,1.400,NaN,68.56589976356756,NaN
0.000,,88.753,14.858,26.881,,61.06914860570601,30.713976053256278,1.000,31.546,,0.600,77.22760188170744,1.957767237568642,0.05761203022375219
0.000,,88.738,15.319,26.751,,60.20232599627288,30.82673777745547,1.100,32.598,,0.800,79.81763770735502,1.614861722074256,0.05394094228725965
0.000,,88.702,7.653,27.024,,74.18826430649175,28.086740376910953,1.400,27.424,,0.900,67.1952527167054,1.4920946196855909,0.07622113684847387
0.000,,88.569,5.396,26.889,,78.65278292990479,27.42508226058766,1.500,31.088,,1.100,NaN,76.19965117987785,NaN
0.000,,88.350,7.261,26.711,,74.79244562053765,27.680311450559945,1.900,29.954,,1.500,NaN,73.64643960838352,NaN
0.000,,88.185,6.377,26.883,,76.65534254141714,27.629003203155914,1.400,31.331,,1.000,76.76390455123423,0,0.05836788665871214
MAYO,-61.363999999999976,10.359,5.081,-19.822,,-75.62284764497622,20.462850363524627,1.900,1.200,,0.000,4.6505386784758596,2.9371823232479115,90
PALM,-61.406000000000006,10.292,5.189,-19.843,,-75.34516150438157,20.51025036414719,5.200,4.400,,0.000,12.727790067407618,10.769668518575676,90
PLND,-61.601999999999975,10.191,2.331,-19.776,,-83.27755608364487,19.91290378121684,3.700,6.700,,0.000,16.399267971467506,9.056312163347727,1.8357747405456943
SMRY,-61.31099999999998,10.185,0.969,-18.574,,-87.01360376787642,18.599259044381313,3.200,8.000,,0.000,19.581215488319412,7.832486195327766,1.0656468134208763
SNDO,-61.459,10.280,0.901,-17.348,,-87.02691057549559,17.371381781539426,2.600,7.100,,0.000,17.378328745883476,6.363895033703808,1.3123885190650433
WESS,-61.42500000000001,10.333,2.894,-21.031,,-82.16494095436315,21.229182673857228,3.500,1.700,,0.000,8.566781776139742,4.161008291267875,90
KAMN,143.362,38.888,13.699,-56.399,,-76.3475663098001,58.03886458227797,1.000,2.000,,0.000,4.895303872079853,2.4476519360399265,18.434948822922014
KAMS,143.263,38.636,-0.298,-49.463,,-90.34518601214901,49.46389767294931,5.000,12.000,,0.000,29.371823232479116,12.238259680199631,0.48146580583835247
MYGI,142.917,38.081,16.709,-58.597,,-74.08444046828426,60.932742347608155,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
MYGW,142.433,38.149,1.719,-59.556,,-88.34669710277248,59.580803091264215,4.000,2.000,,0.000,9.790607744159706,4.895303872079853,90
FUKU,142.081,37.166,-4.273,-40.802,,-95.97852263836245,41.02513538064195,7.000,7.000,,0.000,17.133563552279483,17.133563552279483,90
BUTR,-62.545000000000016,17.172,8.094,-10.786,,-53.11480671142564,13.48520048052679,5.700,3.700,,0.000,13.95161603542758,9.056312163347728,90
MLLY,-62.589999999999975,17.176,11.109,-10.483,,-43.339333379260026,15.274264957764744,9.500,3.500,,0.000,23.2526933923793,8.566781776139742,90
NVPK,-62.58300000000003,17.151,8.506,-12.294,,-55.321329161168855,14.949731502605657,5.700,3.600,,0.000,13.95161603542758,8.811546969743736,90
SDDL,-62.57600000000002,17.117,8.104,-10.708,,-52.88093247825609,13.428926986174286,5.900,3.200,,0.000,14.441146422635565,7.832486195327765,90
HLGT,-63.230999999999995,17.743,10.411,-9.625,,-42.753473640238624,14.178488847546483,6.000,3.000,,0.000,14.685911616239558,7.342955808119779,90
LEVL,-63.226,17.625,6.810,-7.875,,-49.14799874652042,10.41113466438697,5.200,3.100,,0.000,12.727790067407618,7.587721001723772,90.00000000000011
MTSC,-63.23700000000002,17.643,6.314,-9.967,,-57.6461291595508,11.798630640883713,3.800,2.700,,0.000,9.301077356951719,6.6086602273078014,90
STJN,-63.242999999999995,17.620,6.815,-6.577,,-43.98185781287837,9.471069316608341,4.700,2.900,,0.000,11.503964099387655,7.0981906145157865,90
WBAY,-63.25400000000002,17.639,9.819,-6.969,,-35.365090667858794,12.040752551232005,5.000,3.100,,0.000,12.238259680199631,7.5877210017237715,90
NONA,-62.94799999999998,17.478,9.022,-6.045,,-33.82322480835479,10.859949769681258,5.100,3.100,,0.000,12.483024873803624,7.587721001723772,90
RIHL,-62.97399999999999,17.485,6.430,-5.441,,-40.23755662313467,8.423145552583073,4.200,2.900,,0.000,10.280138131367691,7.098190614515787,90
SGLF,-62.96199999999999,17.465,10.126,-1.251,,-7.042825982557866,10.202983730262437,5.100,2.800,,0.000,12.483024873803624,6.853425420911793,90
TBRN,-62.77199999999999,17.382,10.065,-1.992,,-11.194940238776036,10.260228506227334,5.100,3.000,,0.000,12.483024873803624,7.342955808119779,90
TKPK,-62.72000000000003,17.312,11.349,-2.323,,-11.567949917084807,11.584305330920797,4.600,3.200,,0.000,11.259198905783661,7.832486195327765,90
WALK,-62.81999999999999,17.349,8.281,-2.804,,-18.70643183898358,8.742847190703953,11.000,6.200,,0.000,26.92417129643919,15.175442003447545,90
SJ02,-28.209000000000003,38.678,0.208,1.556,,82.38606187560886,1.5698407562552326,0.160,0.280,,0.000,0.6853425420911795,0.3916243097663882,86.97758942242496
SJ03,-28.166999999999973,38.680,0.059,2.369,,88.57334219858637,2.369734584294199,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ04,-28.161,38.656,0.168,2.319,,85.8564448710804,2.3250774180659017,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ05,-28.15300000000002,38.701,0.187,2.355,,85.45992491555691,2.3624127497116163,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ07,-28.112000000000023,38.637,0.279,1.793,,81.15541210166035,1.8145770857144645,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ08,-28.103999999999985,38.682,-0.223,1.780,,97.14086251582492,1.7939144349717464,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ09,-28.057000000000016,38.643,-0.522,1.126,,114.87186942377733,1.2411124042567618,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ10,-28.050999999999988,38.680,0.377,1.840,,78.42085053700407,1.878224959902301,0.260,0.360,,0.000,0.8811546969743735,0.6363895033703808,86.45220293033212
SJ11,-28.024,38.602,-0.379,1.314,,106.08926808626319,1.367566086154523,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ12,-27.99799999999999,38.642,-0.524,1.066,,116.17675741112352,1.1878265866699567,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ13,-27.959000000000003,38.616,-1.282,0.739,,150.03899985560432,1.479744910449095,0.250,0.350,,0.000,0.8566781776139741,0.6119129840099816,86.56636963754949
SJ14,-27.932999999999993,38.598,-0.487,1.207,,111.97307559698446,1.3015444671619945,0.230,0.350,,0.000,0.8566781776139742,0.5629599452891831,86.01863425323646
SJ15,-27.887999999999977,38.575,-0.687,0.700,,134.46299688271648,0.9808001835236371,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ16,-27.853999999999985,38.558,-0.383,1.347,,105.87233609415757,1.4003920879525134,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ17,-27.793000000000006,38.549,-0.886,1.235,,125.65599395625274,1.5199411172805348,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
TBIS,-27.25200000000001,38.796,-1.694,5.054,,108.53012444885796,5.330342578108841,0.618,0.563,,-0.076,1.5311574516578452,1.357433173763133,89.46123416357257
TCAP,-27.107000000000028,38.785,-0.732,3.506,,101.79308551857211,3.581600201027468,0.768,0.678,,-0.032,1.8831393529673364,1.6557139261677307,89.87970640427757
TCAT,-27.211000000000013,38.793,-2.042,3.486,,120.3605629354791,4.040044554209768,0.657,0.584,,-0.063,1.6193307495449427,1.4167016547524092,89.65358120510264
TCCD,-27.286,38.661,1.613,3.355,,64.3229175594053,3.722605807764233,0.670,0.604,,-0.046,1.6471022474980537,1.4703831957305757,89.7744339292117
TOMA,-27.223000000000013,38.659,1.500,3.104,,64.20796380962962,3.447436148792317,0.120,0.180,,0.000,0.44057734848718677,0.29371823232479116,88.96878733011205
TFON,-27.08699999999999,38.734,1.214,3.361,,70.1401777728854,3.5735300474460825,1.103,1.010,,-0.024,2.7037213543695175,2.4677954649699525,89.79529452647688
TGOL,-27.160000000000025,38.729,0.788,2.902,,74.80838356404844,3.0070829719181345,0.918,0.798,,-0.032,2.250454488673803,1.9491810696823246,89.84902944587718
TMAC,-27.269000000000005,38.754,-1.671,4.560,,110.12522685725054,4.856525609939681,0.839,0.738,,-0.023,2.055421896248148,1.804270972837413,89.92761799069484
TPBG,-27.274999999999977,38.721,0.971,3.368,,73.91764054813159,3.505176885693502,0.688,0.620,,-0.063,1.6972535819180783,1.5026891171051489,89.57092740393279
TPFF,-27.288999999999987,38.707,-0.247,4.635,,93.05041721174244,4.641576671778674,0.636,0.577,,-0.072,1.5733542690233404,1.3937250514882873,89.50166915997458
TPJD,-27.101,38.656,0.996,3.172,,72.56784293454521,3.3246954747766,0.632,0.573,,-0.052,1.5559517164580234,1.3924735110770796,89.73187033374249
TPTE,-27.363999999999976,38.730,0.458,3.527,,82.60123523563698,3.5566125737842182,0.831,0.747,,-0.073,2.0545291569590107,1.8052957688991842,89.19728896078846
TPVT,-27.053999999999974,38.734,1.026,1.076,,46.36263027846137,1.486758891010913,0.773,0.701,,0.017,1.8932910437968526,1.7144178759796642,89.95452740185794
TQRB,-27.206000000000017,38.790,0.637,4.574,,82.07167340468443,4.618143025069709,1.509,1.917,,-0.068,4.709452290371963,3.6714181721387007,35.06014140895976
TRAM,-27.351,38.778,-0.235,5.304,,92.53689820915899,5.309203424243603,0.764,0.667,,-0.041,1.8749279360949913,1.626928999511219,89.82372322334682
TSBR,-27.13900000000001,38.757,-0.257,3.160,,94.6495815631429,3.1704335665646743,0.669,0.602,,-0.085,1.6593850851248804,1.4487723956043246,89.30933852536243
TSER,-27.156000000000006,38.649,-0.514,2.389,,102.14224699428024,2.4436687582403636,0.699,0.619,,-0.029,1.7134851319611666,1.5121821466172722,89.91562285459054
BNKR,-61.459,10.339,2.651,-9.953,,-75.08542408765874,10.30000048543688,5.500,4.700,,0.000,13.462085648219595,11.503964099387655,90
MTTB,-61.396000000000015,10.681,6.331,-6.923,,-47.55745977739872,9.381337324710161,1.200,1.400,,0.000,3.4267127104558965,2.9371823232479115,62.52556837372289
PUND,-61.418000000000006,10.377,3.938,-12.139,,-72.02647419214895,12.761785337483152,2.200,3.400,,0.000,8.322016582535749,5.384834259287838,8.464045663962684
SRUX,-61.39999999999998,10.653,5.733,-6.734,,-49.59054318560603,8.843870476211194,0.700,1.000,,0.000,2.447651936039926,1.7133563552279485,62.978418408822954
