Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-10.979,-23.966,,-114.61286226566284,26.361100071886227,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,16.580,-67.210,,-76.1424163263919,69.22485464051188,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-11.157,-21.248,,-117.7032776701065,23.99908650344842,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,0.609,7.568,,85.39929910789348,7.592463697641233,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-0.231,7.094,,91.8650479416577,7.097759998760173,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,0.161,8.001,,88.84722212929928,8.002619696074529,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,1.097,7.285,,81.4365469073835,7.367132006418781,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,0.812,8.341,,84.4397516442724,8.380431074831414,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,0.278,8.616,,88.15196115247159,8.620483745127068,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-0.471,7.697,,93.50171545063621,7.71139740903035,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,39.582,-35.302,,-41.72881480929625,53.037401218385504,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,15.601,-28.579,,-61.37030013182081,32.559951504877894,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,31.379,-38.064,,-50.49869169635798,49.33061662902664,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,24.763,-34.095,,-54.00931436661095,42.138761182550205,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,11.440,-21.820,,-62.33244282806229,24.637085866636095,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,16.006,-33.192,,-64.255490122421,36.849706918780235,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,8.458,-26.658,,-72.39690629404089,27.967601398761392,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,7.989,-26.415,,-73.17248941570593,27.596672734226495,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-7.378,0.226,,178.2454867849067,7.38146056007888,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,7.144,-15.494,,-65.24643746456334,17.061675533194272,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,16.478,-22.949,,-54.32063489274522,28.252098771595715,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,50.243,-66.908,,-53.09613802274159,83.67221470117784,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,33.860,-32.783,,-44.07413856916532,47.12987045388518,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,36.858,-52.249,,-54.799718118347606,63.94114610327219,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,12.908,-8.035,,-31.90152800581326,15.20452856881791,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,11.478,-22.880,,-63.35887214861509,25.597634343821692,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,23.954,-11.628,,-25.89334629429073,26.62713841177831,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,11.495,5.470,,25.447864684798336,12.730118813271146,6.000,4.772,,4.000,NaN,29.382510691419757,NaN
0.000,,95.250,9.475,5.365,,29.51970681196912,10.888473263042895,6.000,5.770,,4.000,NaN,32.20621355614924,NaN
0.029,,95.253,12.481,5.398,,23.388356743336864,13.598300077583227,6.000,7.770,,4.000,NaN,37.52692002665483,NaN
0.029,,95.272,12.505,5.517,,23.806281929322584,13.667930128589333,6.000,9.766,,4.000,NaN,42.53171300194465,NaN
0.028,,95.308,3.508,5.536,,57.638769983917335,6.553881292791318,6.000,6.758,,4.000,NaN,34.88220393596214,NaN
0.022,,95.321,2.513,5.554,,65.65483228956471,6.096071275830033,6.000,8.756,,4.000,NaN,40.029342705923554,NaN
0.025,,95.354,0.517,5.581,,84.70746831567199,5.604895181892343,6.000,12.748,,4.000,NaN,49.66251450499568,NaN
-0.065,,95.399,12.526,5.616,,24.14895662928022,13.72734978063865,6.000,2.739,,4.000,NaN,23.09287096198903,NaN
0.023,,95.405,2.528,5.630,,65.81881871034896,6.171522016488315,6.000,9.737,,4.000,NaN,42.46060872316936,NaN
0.026,,95.488,4.524,5.606,,51.09673024489122,7.203735975172882,6.000,6.720,,4.000,NaN,34.78114220923724,NaN
0.026,,95.539,13.523,5.598,,22.487666853942205,14.635885111601553,6.000,1.710,,4.000,NaN,19.536635635697184,NaN
0.000,,16.233,1.349,45.860,,88.31509539689276,45.879836540685275,2.000,9.069,,2.000,NaN,24.041474419429967,NaN
0.000,,16.183,-0.008,45.807,,90.01000646694708,45.80700069858318,2.000,9.842,,2.000,NaN,25.823352703601778,NaN
0.000,,16.139,-0.348,45.850,,90.43486474167442,45.85132063528814,2.000,7.317,,2.000,NaN,20.051563793993083,NaN
0.000,,16.135,-0.314,45.926,,90.39173005362343,45.92707340991804,2.000,6.915,,2.000,NaN,19.14715701203995,NaN
0.000,,16.132,0.615,45.893,,89.23224031225331,45.89712054148931,2.000,7.413,,2.000,NaN,20.268203662011647,NaN
0.000,,16.116,0.916,45.774,,88.85358653295644,45.783164285575545,2.000,8.104,,2.000,NaN,21.83468079436436,NaN
0.000,,16.091,0.440,45.976,,89.45168406622203,45.97810539811313,2.000,8.490,,2.000,NaN,22.71486668112131,NaN
0.000,,16.085,0.703,45.903,,89.12258927848353,45.90838287284796,2.000,7.187,,2.000,NaN,19.758599182342632,NaN
0.000,,16.078,-0.119,45.928,,90.14845372113929,45.928154164956375,2.000,6.584,,2.000,NaN,18.40596877147009,NaN
0.000,,16.076,0.197,45.793,,89.75351693634457,45.79342374184311,2.000,8.082,,2.000,NaN,21.784621850854087,NaN
0.000,,16.066,1.450,45.731,,88.18392215062536,45.75398191414601,2.000,8.876,,2.000,NaN,23.598462515511013,NaN
0.000,,16.025,-0.152,45.730,,90.1904423007638,45.7302526124665,2.000,8.554,,2.000,NaN,22.86113943774348,NaN
0.000,,16.017,0.278,45.811,,89.65230989965967,45.8118435014353,2.000,8.449,,2.000,NaN,22.621209889835853,NaN
0.000,,16.015,0.322,45.876,,89.59785207857335,45.87713003229387,2.000,8.048,,2.000,NaN,21.707281270851038,NaN
0.000,,16.010,2.467,45.707,,86.9105023809986,45.77352879121294,2.000,9.645,,2.000,NaN,25.36814178479329,NaN
0.000,,15.981,0.808,45.773,,88.98870115205577,45.78013098495897,2.000,9.529,,2.000,NaN,25.100440849467102,NaN
0.000,,15.975,-0.581,45.993,,90.72374225123987,45.996669553349186,2.000,6.325,,2.000,NaN,17.828291064217538,NaN
0.000,,15.940,1.523,45.869,,88.09829239611871,45.89427731210069,2.000,8.306,,2.000,NaN,22.294857934863227,NaN
0.000,,15.907,2.145,45.725,,87.31417356357672,45.775284270007546,2.000,10.588,,2.000,NaN,27.55339490997625,NaN
0.000,,15.895,1.388,45.791,,88.26380294854876,45.81203144371574,2.000,8.880,,2.000,NaN,23.607636069880805,NaN
0.000,,15.883,-0.119,45.681,,90.14925641599444,45.68115499853304,2.000,10.174,,2.000,NaN,26.592106215210055,NaN
0.000,,15.881,0.533,45.853,,89.33401794575133,45.85609771884215,2.000,9.773,,2.000,NaN,25.663831273481343,NaN
0.000,,15.836,1.220,45.749,,88.47244118434274,45.76526413121638,2.000,8.448,,2.000,NaN,22.618926060502893,NaN
0.000,,15.826,-0.551,45.831,,90.68880132693063,45.834312059853154,2.000,8.142,,2.000,NaN,21.921173939222545,NaN
0.000,,15.822,1.049,45.715,,88.68549213469362,45.727033864006536,2.000,8.840,,2.000,NaN,23.51591603160163,NaN
0.000,,15.812,0.965,45.927,,88.7963008098465,45.937136980878556,2.000,8.934,,2.000,NaN,23.73151260597322,NaN
0.000,,15.795,-0.703,45.658,,90.88211814956311,45.66341175383198,2.000,8.925,,2.000,NaN,23.710862189568555,NaN
0.000,,15.768,1.594,45.775,,88.00562351053446,45.80274512515598,2.000,7.010,,2.000,NaN,19.360473682869372,NaN
0.000,,15.759,0.615,45.866,,89.23178840827147,45.87012296691606,2.000,9.805,,2.000,NaN,25.73780132235852,NaN
0.000,,88.936,18.677,26.965,,55.292031537517865,32.80154804273725,1.100,39.424,,0.700,96.51464067305493,1.922403643122288,0.03687852994293538
0.000,,88.791,16.561,27.010,,58.485736092012736,31.68291055127354,1.700,38.853,,1.400,NaN,95.27655037093947,NaN
0.000,,88.753,20.308,26.881,,52.929761141446534,33.68980595076202,1.000,42.492,,0.600,104.01599770239595,1.957926300747347,0.03174403858746092
0.000,,88.738,20.752,26.751,,52.19759653504451,33.85648394325672,1.100,43.547,,0.800,106.60966503573306,1.6151204561265693,0.030220791875355063
0.000,,88.702,13.116,27.024,,64.11055114317185,30.038742184052914,1.400,38.378,,0.900,93.98661170877757,1.4928648791738763,0.038910569838428624
0.000,,88.569,10.830,26.889,,68.06205427436457,28.98805307363708,1.500,42.063,,1.100,NaN,103.03474316861634,NaN
0.000,,88.350,12.656,26.711,,64.64783090107917,29.557602355400885,1.900,40.961,,1.500,NaN,100.50001438221756,NaN
0.000,,88.185,11.778,26.883,,66.34077687775806,29.349905843119835,1.400,42.363,,1.000,103.74648601316095,0,0.031926342764874764
MAYO,-61.363999999999976,10.359,-0.095,-20.462,,-90.26600820766835,20.462220529551526,1.900,1.200,,0.000,4.6505386784758596,2.9371823232479115,90
PALM,-61.406000000000006,10.292,0.004,-20.467,,-89.98880231029783,20.46700039087311,5.200,4.400,,0.000,12.727790067407618,10.769668518575676,90
PLND,-61.601999999999975,10.191,-2.898,-20.374,,-98.09545305110683,20.5790738372746,3.700,6.700,,0.000,16.399267971467506,9.056312163347727,1.8357747405456943
SMRY,-61.31099999999998,10.185,-4.195,-19.175,,-102.34042395558319,19.628516245503633,3.200,8.000,,0.000,19.581215488319412,7.832486195327766,1.0656468134208763
SNDO,-61.459,10.280,-4.296,-17.968,,-103.44651674713575,18.474432061635888,2.600,7.100,,0.000,17.378328745883476,6.363895033703808,1.3123885190650433
WESS,-61.42500000000001,10.333,-2.296,-21.664,,-96.04975372754365,21.785327906643957,3.500,1.700,,0.000,8.566781776139742,4.161008291267875,90
KAMN,143.362,38.888,12.978,-46.309,,-74.34458337591198,48.09315923288882,1.000,2.000,,0.000,4.895303872079853,2.4476519360399265,18.434948822922014
KAMS,143.263,38.636,-0.996,-39.415,,-91.44753150835665,39.42758223629747,5.000,12.000,,0.000,29.371823232479116,12.238259680199631,0.48146580583835247
MYGI,142.917,38.081,16.095,-48.642,,-71.69129752899268,51.23566325324578,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
MYGW,142.433,38.149,1.223,-49.587,,-88.58715923263902,49.602079573340475,4.000,2.000,,0.000,9.790607744159706,4.895303872079853,90
FUKU,142.081,37.166,-4.683,-31.002,,-98.5898605106866,31.3536998295257,7.000,7.000,,0.000,17.133563552279483,17.133563552279483,90
BUTR,-62.545000000000016,17.172,2.652,-12.939,,-78.41697732228226,13.207983381273616,5.700,3.700,,0.000,13.95161603542758,9.056312163347728,90
MLLY,-62.589999999999975,17.176,5.657,-12.636,,-65.88245579317183,13.844498726931214,9.500,3.500,,0.000,23.2526933923793,8.566781776139742,90
NVPK,-62.58300000000003,17.151,3.056,-14.442,,-78.05217153832938,14.761791896649946,5.700,3.600,,0.000,13.95161603542758,8.811546969743736,90
SDDL,-62.57600000000002,17.117,2.655,-12.848,,-78.32434563966252,13.119456124397841,5.900,3.200,,0.000,14.441146422635565,7.832486195327765,90
HLGT,-63.230999999999995,17.743,4.816,-11.885,,-67.94138889263813,12.823692175032898,6.000,3.000,,0.000,14.685911616239558,7.342955808119779,90
LEVL,-63.226,17.625,1.216,-10.109,,-83.14091210888883,10.181872961297445,5.200,3.100,,0.000,12.727790067407618,7.587721001723772,90.00000000000011
MTSC,-63.23700000000002,17.643,0.717,-12.205,,-86.63794242813708,12.2260424504416,3.800,2.700,,0.000,9.301077356951719,6.6086602273078014,90
STJN,-63.242999999999995,17.620,1.217,-8.809,,-82.13414157481209,8.892669452982044,4.700,2.900,,0.000,11.503964099387655,7.0981906145157865,90
WBAY,-63.25400000000002,17.639,4.219,-9.205,,-65.3762208869975,10.1258079183836,5.000,3.100,,0.000,12.238259680199631,7.5877210017237715,90
NONA,-62.94799999999998,17.478,3.490,-8.255,,-67.08261865808022,8.962428521332821,5.100,3.100,,0.000,12.483024873803624,7.587721001723772,90
RIHL,-62.97399999999999,17.485,0.892,-7.652,,-83.35099224946762,7.70381515873791,4.200,2.900,,0.000,10.280138131367691,7.098190614515787,90
SGLF,-62.96199999999999,17.465,4.591,-3.457,,-36.97956404657291,5.747010527221958,5.100,2.800,,0.000,12.483024873803624,6.853425420911793,90
TBRN,-62.77199999999999,17.382,4.573,-4.185,,-42.4633209111094,6.198915550320072,5.100,3.000,,0.000,12.483024873803624,7.342955808119779,90
TKPK,-62.72000000000003,17.312,5.869,-4.502,,-37.491137903550054,7.396834796046211,4.600,3.200,,0.000,11.259198905783661,7.832486195327765,90
WALK,-62.81999999999999,17.349,2.777,-4.988,,-60.89373155107229,5.708929234103363,11.000,6.200,,0.000,26.92417129643919,15.175442003447545,90
SJ02,-28.209000000000003,38.678,2.966,-5.654,,-62.31919898175512,6.3847374260810446,0.160,0.280,,0.000,0.6853425420911795,0.3916243097663882,86.97758942242496
SJ03,-28.166999999999973,38.680,2.827,-4.840,,-59.711187770266335,5.605134164317568,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ04,-28.161,38.656,2.937,-4.885,,-58.98452626614003,5.699929297807123,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ05,-28.15300000000002,38.701,2.958,-4.858,,-58.663076377617735,5.687699710779394,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ07,-28.112000000000023,38.637,3.060,-5.406,,-60.48850144290969,6.2119591112627255,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ08,-28.103999999999985,38.682,2.559,-5.427,,-64.75465842132101,6.000067499620316,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ09,-28.057000000000016,38.643,2.272,-6.072,,-69.48532954179278,6.48314491585681,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ10,-28.050999999999988,38.680,3.172,-5.366,,-59.41142094621604,6.233421211501755,0.260,0.360,,0.000,0.8811546969743735,0.6363895033703808,86.45220293033212
SJ11,-28.024,38.602,2.423,-5.875,,-67.58749888753144,6.355041620634754,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ12,-27.99799999999999,38.642,2.284,-6.130,,-69.56491828033805,6.541678377908838,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ13,-27.959000000000003,38.616,1.535,-6.451,,-76.61550746876861,6.63111046507295,0.250,0.350,,0.000,0.8566781776139741,0.6119129840099816,86.56636963754949
SJ14,-27.932999999999993,38.598,2.336,-5.978,,-68.6561247712199,6.418206914707564,0.230,0.350,,0.000,0.8566781776139742,0.5629599452891831,86.01863425323646
SJ15,-27.887999999999977,38.575,2.147,-6.479,,-71.66592392411235,6.825470679740702,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ16,-27.853999999999985,38.558,2.459,-5.827,,-67.12020511917673,6.324603544887221,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ17,-27.793000000000006,38.549,1.971,-5.936,,-71.63167751485115,6.254673212886505,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
TBIS,-27.25200000000001,38.796,1.291,-2.150,,-59.01665248889339,2.5078239571389376,0.618,0.563,,-0.076,1.5311574516578452,1.357433173763133,89.46123416357257
TCAP,-27.107000000000028,38.785,2.288,-3.691,,-58.20579682337413,4.342628812136722,0.768,0.678,,-0.032,1.8831393529673364,1.6557139261677307,89.87970640427757
TCAT,-27.211000000000013,38.793,0.954,-3.716,,-75.6015424959997,3.8365051804995653,0.657,0.584,,-0.063,1.6193307495449427,1.4167016547524092,89.65358120510264
TCCD,-27.286,38.661,4.591,-3.823,,-39.784696524454255,5.974329251054046,0.670,0.604,,-0.046,1.6471022474980537,1.4703831957305757,89.7744339292117
TOMA,-27.223000000000013,38.659,4.493,-4.071,,-42.178972716046665,6.063009978550258,0.120,0.180,,0.000,0.44057734848718677,0.29371823232479116,88.96878733011205
TFON,-27.08699999999999,38.734,4.238,-3.825,,-42.06777938741202,5.708876334271045,1.103,1.010,,-0.024,2.7037213543695175,2.4677954649699525,89.79529452647688
TGOL,-27.160000000000025,38.729,3.796,-4.285,,-48.46287753415744,5.72458216815865,0.918,0.798,,-0.032,2.250454488673803,1.9491810696823246,89.84902944587718
TMAC,-27.269000000000005,38.754,1.311,-2.636,,-63.556798998203206,2.944013756761337,0.839,0.738,,-0.023,2.055421896248148,1.804270972837413,89.92761799069484
TPBG,-27.274999999999977,38.721,3.951,-3.822,,-44.04921174557858,5.497097870695045,0.688,0.620,,-0.063,1.6972535819180783,1.5026891171051489,89.57092740393279
TPFF,-27.288999999999987,38.707,2.730,-2.552,,-43.06989952767076,3.737058201312899,0.636,0.577,,-0.072,1.5733542690233404,1.3937250514882873,89.50166915997458
TPJD,-27.101,38.656,4.017,-3.998,,-44.86417744584186,5.66747677542661,0.632,0.573,,-0.052,1.5559517164580234,1.3924735110770796,89.73187033374249
TPTE,-27.363999999999976,38.730,3.417,-3.668,,-47.0289666477718,5.012994414519131,0.831,0.747,,-0.073,2.0545291569590107,1.8052957688991842,89.19728896078846
TPVT,-27.053999999999974,38.734,4.059,-6.108,,-56.39443946217053,7.333699271172769,0.773,0.701,,0.017,1.8932910437968526,1.7144178759796642,89.95452740185794
TQRB,-27.206000000000017,38.790,3.633,-2.627,,-35.8704608208242,4.48328205670801,1.509,1.917,,-0.068,4.709452290371963,3.6714181721387007,35.06014140895976
TRAM,-27.351,38.778,2.727,-1.900,,-34.8663284017498,3.323631898992426,0.764,0.667,,-0.041,1.8749279360949913,1.626928999511219,89.82372322334682
TSBR,-27.13900000000001,38.757,2.756,-4.033,,-55.65277274762019,4.884733871972966,0.669,0.602,,-0.085,1.6593850851248804,1.4487723956043246,89.30933852536243
TSER,-27.156000000000006,38.649,2.495,-4.782,,-62.44677895127906,5.39375092120502,0.699,0.619,,-0.029,1.7134851319611666,1.5121821466172722,89.91562285459054
BNKR,-61.459,10.339,-2.546,-10.587,,-103.5219302197838,10.888833041240002,5.500,4.700,,0.000,13.462085648219595,11.503964099387655,90
MTTB,-61.396000000000015,10.681,1.148,-7.636,,-81.4501558545087,7.721813258555273,1.200,1.400,,0.000,3.4267127104558965,2.9371823232479115,62.52556837372289
PUND,-61.418000000000006,10.377,-1.250,-12.782,,-95.58541002668383,12.84297566765584,2.200,3.400,,0.000,8.322016582535749,5.384834259287838,8.464045663962684
SRUX,-61.39999999999998,10.653,0.549,-7.441,,-85.7803396921426,7.461225234504049,0.700,1.000,,0.000,2.447651936039926,1.7133563552279485,62.978418408822954
TANK,-61.43799999999999,10.395,0.852,-11.179,,-85.64166613689585,11.211420293611333,3.300,3.000,,0.000,8.077251388931757,7.34295580811978,90
KMN_,136.508,33.726,5.453,-31.218,,-80.0918306829483,31.69067264985078,4.000,4.000,,0.000,9.790607744159706,9.790607744159706,90
KMS_,136.612,33.557,4.456,-33.236,,-82.36380621252239,33.533380861463996,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
KME_,137.117,33.885,4.466,-33.114,,-82.31901223964846,33.41380181900886,5.000,5.000,,0.000,12.238259680199631,12.238259680199631,90
0.000,,23.521,-17.873,35.303,,116.85191945352382,39.56950767952515,0.270,-16.636,,0.280,40.719558157865485,0.6344248294405753,0.20707532747482293
0.000,,24.109,-15.763,34.839,,114.34450284722176,38.23909112413631,0.060,-17.953,,0.090,43.94269719553518,0.14626312079449097,0.17776734600161867
0.000,,24.119,-16.873,34.848,,115.83573076412401,38.7179704142663,0.690,-21.151,,0.520,51.77774027462784,1.4423764918293727,0.1281732348476568
0.000,,24.120,-15.194,34.848,,113.55757746436001,38.01632202094253,0.190,-18.641,,0.300,45.62689306396319,0.4436310411454507,0.1649013000745569
0.000,,24.120,-16.084,34.848,,114.77555762331879,38.38070035838325,0.340,-18.101,,0.510,44.306981074942556,0.715805710848025,0.1749159946267565
0.000,,24.473,-15.047,35.370,,113.04572697126133,38.43760019824339,0.270,-17.453,,0.400,42.71968729044319,0.60568211608651,0.18813439754319997
0.000,,24.319,-15.497,35.188,,113.76897195930614,38.4493478878381,0.200,-18.893,,0.740,46.24490694634074,0.32925139830550326,0.16052462480144838
0.000,,23.840,-15.729,35.354,,113.98428861779317,38.69504822325461,0.250,-16.815,,0.920,41.16111741235718,0.23979750029328215,0.20264776638508789
0.000,,23.823,-16.173,35.256,,114.64236410028256,38.788548116680005,0.420,-16.918,,0.590,41.41381894623065,0.8299326314992459,0.2002614278545623
0.000,,24.071,-16.023,35.533,,114.27218158020418,38.978591790879264,0.100,-17.811,,0.100,43.59513550420157,0.24353825429100187,0.18061679849823645
0.000,,87.281,15.265,26.439,,59.99929098702987,30.529345652994266,2.830,43.341,,3.490,NaN,108.68660705212399,NaN
0.000,,83.953,9.076,29.178,,72.72136626994588,30.556987089698488,1.590,30.374,,1.130,NaN,74.47483572954881,NaN
0.000,,86.550,12.619,27.305,,65.19599063769964,30.07992995337589,1.620,39.653,,1.480,NaN,97.23364821696748,NaN
0.000,,86.713,13.109,27.814,,64.76505686283376,30.748406088771496,1.180,33.029,,0.960,80.89103440320226,0.8082289347384807,0.052526089605928424
0.000,,86.904,18.176,30.445,,59.16233371857886,35.45793283596775,0.590,27.510,,0.520,67.33909339073318,1.233437276117175,0.07573331190934765
0.000,,85.057,13.663,30.729,,66.02868865210895,33.629585337913404,0.590,27.218,,0.500,66.6241046381788,1.250566489635913,0.07736829198669835
0.000,,81.926,6.612,32.047,,78.34220444487684,32.721991886191766,1.550,24.548,,1.430,NaN,60.328386989691396,NaN
0.000,,84.043,13.011,29.534,,66.22444043409081,32.27294961728785,0.680,30.799,,0.530,75.39039483375649,1.4113134312771027,0.06042288838387083
0.000,,86.940,15.445,28.357,,61.42451848706513,32.29036193665224,0.540,31.496,,0.450,77.09354032187755,1.1803093217631482,0.05777148057498221
0.000,,79.874,23.011,6.892,,16.673427710556027,24.020944714977386,4.800,41.272,,2.990,NaN,106.4430415048195,NaN
0.000,,86.813,14.648,27.958,,62.348664494604414,31.562852659415938,4.400,32.435,,3.170,NaN,85.56936112426366,NaN
-0.100,,27.863,-18.153,38.485,,115.25279575012117,42.55145865889911,0.100,-8.463,,0.200,20.714536185979302,0.2398192626835161,0.8000257023082197
-0.130,,26.712,-16.902,38.393,,113.76084616280724,41.9487789214418,0.500,-13.471,,0.600,32.98050183089227,0.9788178653413347,0.31601045565805225
-0.060,,27.566,-18.297,37.695,,115.89174805678768,41.90099323405115,0.200,-13.742,,0.200,33.635775425483416,0.47963783258406195,0.30346387727728635
-0.160,,27.181,-18.418,38.342,,115.65781229307683,42.53623970216455,0.500,-8.546,,0.600,20.930546130483783,0.9784567622998015,0.7861780236300365
-0.160,,26.601,-18.500,38.440,,115.70009358950006,42.66009376454768,0.700,-12.300,,0.800,30.137341558491887,1.026948775157628,0.3791505507582028
-0.060,,27.813,-19.206,37.698,,116.99747765668354,42.30850552784865,0.200,-12.676,,0.200,31.026590452502493,0.4796374763099722,0.3566616070170238
-0.220,,27.639,-18.936,38.346,,116.28105509772509,42.76666706677059,0.500,-6.523,,0.700,15.989068925617033,0.8727274092565207,1.350352077293987
-0.140,,26.233,-18.976,38.288,,116.3635765604471,42.732417670897114,0.600,-16.097,,0.700,39.41327180741353,1.0484267995157484,0.2212779873228852
-0.110,,26.830,-20.293,38.137,,118.0177968705879,43.19996085646375,0.800,-20.439,,0.900,50.05859755400643,0.8529961529932132,0.13719200138583804
-0.060,,27.181,-15.777,37.627,,112.74830275307582,40.80079482068946,0.200,-15.545,,0.200,38.0488753302706,0.4796382767516981,0.23714158500697097
-0.150,,26.997,-20.295,38.068,,118.0631899851559,43.1400005679184,0.600,-11.995,,0.700,29.377600153854516,1.0481407230173285,0.3987208787982672
-0.040,,27.165,-21.631,38.597,,119.26767245729651,44.245096564478196,0.200,-6.049,,0.200,14.806170607580755,0.47962936754509117,1.5671231915387338
-0.070,,27.675,-18.655,38.677,,115.74931475165955,42.94088208223022,0.100,-5.312,,0.200,13.00201927085021,0.2398182320838049,2.0303571376689975
-0.070,,26.470,-19.707,38.671,,117.00369487738513,43.40290416550487,0.400,-11.635,,0.400,28.481125556488156,0.8972391044516357,0.4236558882820787
-0.140,,27.443,-17.924,38.280,,115.09059439499319,42.26852464896309,0.600,-7.375,,0.800,18.08971651655631,0.8792898985145576,1.0557986270722908
