Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,25.881,-46.167,,-60.725217867719,52.926534460514226,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,52.735,-90.236,,-59.697472949346846,104.51562524809388,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,25.171,-44.245,,-60.36443315295746,50.90382368742057,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-29.798,-22.956,,-142.3898014059484,37.61513977110812,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-30.428,-23.637,,-142.1593173070197,38.53013045656606,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-29.956,-22.807,,-142.71616889267492,37.64998253651653,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-28.259,-24.237,,-139.38117783984933,37.22906458669087,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-28.455,-23.248,,-140.75085751482217,36.74447616989525,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-28.381,-23.488,,-140.38898122988488,36.83975169568872,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-27.543,-25.646,,-137.0426036184777,37.63421534986481,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,7.505,-59.028,,-82.75411698917644,59.503191586670376,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-16.414,-52.232,,-107.44541992409883,54.75035360616404,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,-0.561,-61.767,,-90.52037574277337,61.769547594263635,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,-7.129,-57.756,,-97.03660171766208,58.194313957636794,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,-20.492,-45.460,,-114.26441870248895,49.86515480774125,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,-15.812,-56.801,,-105.55589349054155,58.96077463025736,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,-23.410,-50.262,,-114.97419321014259,55.44634112364855,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,-23.871,-50.031,,-115.50693808884901,55.43397515964375,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-38.920,-23.151,,-149.25431325076028,45.285043899724776,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,-24.408,-38.876,,-122.12234344975691,45.903091834864455,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,-15.077,-46.336,,-108.02406683537454,48.72720826191461,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,18.707,-90.293,,-78.29499939487155,92.21050752490197,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,2.315,-56.169,,-87.63989562949564,56.21668601047201,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,5.305,-75.646,,-85.98845567998647,75.83178977843001,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,-18.633,-31.416,,-120.67240952418005,36.526069388862524,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,-20.068,-46.265,,-113.44936862409764,50.42990034691721,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,-7.599,-35.018,,-102.24351052324994,35.833017246667914,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
