Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,27.965,-62.869,,-66.01984073875511,68.80808372567863,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,51.909,-106.620,,-64.0404076343336,118.58485856550153,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,25.008,-62.857,,-68.30459437125577,67.64911317230995,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-70.730,-0.156,,-179.8736303250281,70.73017203428817,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-71.599,-1.116,,-179.10701389018487,71.60769691171474,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-71.218,-0.483,,-179.6114263637548,71.2196378325529,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-70.335,-2.864,,-177.66823759324697,70.39328605058866,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-70.621,-2.161,,-178.24729817176396,70.65405552408156,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-71.143,-3.286,,-177.35546413279326,71.21884754052118,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-71.681,-7.505,,-174.0229094281453,72.07281586007306,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,-31.280,-49.421,,-122.33091918687948,58.488235064840175,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-55.286,-42.814,,-142.2454615482966,69.9255346207664,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,-39.539,-52.333,,-127.07203560590227,65.59020818689326,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,-46.174,-48.440,,-133.62803157037143,66.92138578959643,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,-59.482,-36.144,,-148.71520907738284,69.60242136592663,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,-54.959,-47.641,,-139.07974321232646,72.73346246398559,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,-62.489,-41.066,,-146.68821653906423,74.77493882979778,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,-62.960,-40.822,,-147.0414345581906,75.03597326616081,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-78.442,-14.603,,-169.45436402548773,79.78969214754497,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,-63.916,-30.311,,-154.62820436065033,70.7390399779358,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,-54.582,-37.762,,-145.32297279155236,66.37140474632129,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,-20.824,-81.736,,-104.29325623660655,84.34697784746055,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,-37.203,-47.605,,-128.00739651309848,60.41770629542303,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
