Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-2.679,-16.229,,-99.37356086433785,16.448631614818296,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,25.672,-59.757,,-66.75132203450927,65.03807064327785,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-2.242,-13.214,,-99.62958610894145,13.402848950876079,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,6.767,-2.138,,-17.533672387008632,7.096712830599812,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,6.058,-2.570,,-22.988231026439784,6.580597541257177,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,6.500,-1.579,,-13.653986424067352,6.68903886967328,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,7.891,-2.175,,-15.40982908758398,8.185261510788767,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,7.658,-0.963,,-7.167371040233824,7.718311538153925,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,7.470,-0.471,,-3.6078494141794812,7.484834066296994,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,7.564,-0.961,,-7.2405901296450095,7.624802751547085,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,44.621,-36.192,,-39.045436468025784,57.45341160453398,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,20.684,-29.378,,-54.851992607395154,35.929023643845376,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,36.516,-38.883,,-46.79809526202219,53.34140928959414,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,29.934,-34.859,,-49.34676793674565,45.94773375260199,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,16.582,-22.578,,-53.7052580758827,28.01301140541659,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,21.228,-33.884,,-57.93325213206301,39.984414963833096,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,13.645,-27.362,,-63.49528749395575,30.575563265457593,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,13.182,-27.126,,-64.08236000812376,30.159326915566268,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-1.964,-0.176,,-174.87922953774523,1.9718701782825359,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,12.551,-15.903,,-51.71871585316708,20.259146329497696,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,21.883,-23.363,,-46.87348119151061,32.010864686852806,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,55.661,-67.315,,-50.413550947560765,87.34675807378314,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,39.272,-33.194,,-40.20560584112345,51.421120368969014,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,42.265,-52.672,,-51.255789116175826,67.53273139004523,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,18.323,-8.441,,-24.73447643122157,20.17381495900069,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,16.889,-23.291,,-54.053010763428645,28.76993225574228,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,29.360,-12.044,,-22.304320528198748,31.734327407399075,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,12.522,5.470,,23.597205549532585,13.664603323916872,6.000,2.110,,4.000,NaN,20.95080157331638,NaN
0.000,,95.250,10.531,5.365,,26.996490410502144,11.818848759502764,6.000,3.110,,4.000,NaN,24.308030114206048,NaN
0.029,,95.253,13.528,5.398,,21.753197943751783,14.565204701616796,6.000,5.110,,4.000,NaN,30.354403441693357,NaN
0.029,,95.272,13.519,5.517,,22.199993797726275,14.601392056923888,6.000,7.111,,4.000,NaN,35.81463461383546,NaN
0.028,,95.308,4.517,5.536,,50.78789096447038,7.144969209170883,6.000,4.113,,4.000,NaN,27.434505834214622,NaN
0.022,,95.321,3.517,5.554,,57.6564835083105,6.573903330594389,6.000,6.115,,4.000,NaN,33.15265404452643,NaN
0.025,,95.354,1.514,5.581,,74.82222225336,5.782711907055374,6.000,10.116,,4.000,NaN,43.38670771327584,NaN
-0.065,,95.399,13.512,5.616,,22.569263086784446,14.632621091246778,6.000,0.119,,4.000,NaN,14.73178548903697,NaN
0.023,,95.405,3.511,5.630,,58.05136792488404,6.63505998465726,6.000,7.119,,4.000,NaN,35.835636832196876,NaN
0.026,,95.488,5.513,5.606,,45.47921424980062,7.862595309438226,6.000,4.125,,4.000,NaN,27.47066297584622,NaN
0.026,,95.539,14.514,5.598,,21.091455861704112,15.556149909280252,6.000,-0.871,,4.000,NaN,16.55002565875701,NaN
0.000,,16.233,2.840,45.860,,86.45633494999264,45.94785305104037,2.000,-6.897,,2.000,NaN,19.106768330608954,NaN
0.000,,16.183,1.494,45.807,,88.13195446549086,45.831357005875354,2.000,-6.125,,2.000,NaN,17.383621057624943,NaN
0.000,,16.139,1.161,45.850,,88.54948335640535,45.864696892054134,2.000,-8.650,,2.000,NaN,23.080722219015076,NaN
0.000,,16.135,1.194,45.926,,88.51074002452185,45.94151839023173,2.000,-9.052,,2.000,NaN,24.00242112573129,NaN
0.000,,16.132,2.125,45.893,,87.34890658707836,45.94217097613042,2.000,-8.554,,2.000,NaN,22.86113943774348,NaN
0.000,,16.116,2.433,45.774,,86.95745234773786,45.83861434424038,2.000,-7.863,,2.000,NaN,21.286958240217913,NaN
0.000,,16.091,1.955,45.976,,87.56512505748849,46.01754666428883,2.000,-7.477,,2.000,NaN,20.41276842497667,NaN
0.000,,16.085,2.222,45.903,,87.22867952270816,45.95674806815643,2.000,-8.780,,2.000,NaN,23.37840091846182,NaN
0.000,,16.078,1.400,45.928,,88.25402236868034,45.94933279167392,2.000,-9.384,,2.000,NaN,24.766180420245774,NaN
0.000,,16.076,1.721,45.793,,87.84771359162959,45.825328040287935,2.000,-7.885,,2.000,NaN,21.336897835796407,NaN
0.000,,16.066,2.978,45.731,,86.27416290671836,45.8278610127071,2.000,-7.091,,2.000,NaN,19.542557265780907,NaN
0.000,,16.025,1.385,45.730,,88.26524371838401,45.75096856898222,2.000,-7.414,,2.000,NaN,20.270461640161713,NaN
0.000,,16.017,1.813,45.811,,87.73366511949132,45.846861288424094,2.000,-7.519,,2.000,NaN,20.50769855618134,NaN
0.000,,16.015,1.855,45.876,,87.68450162853698,45.91348822513925,2.000,-7.920,,2.000,NaN,21.416372258095414,NaN
0.000,,16.010,4.007,45.707,,84.98985433436037,45.88230484620405,2.000,-6.323,,2.000,NaN,17.82383821346587,NaN
0.000,,15.981,2.352,45.773,,87.0585004642365,45.83338775390709,2.000,-6.439,,2.000,NaN,18.082306786163663,NaN
0.000,,15.975,0.956,45.993,,88.80923447458103,46.00293452596258,2.000,-9.642,,2.000,NaN,25.3612152554491,NaN
0.000,,15.940,3.072,45.869,,86.1684323475185,45.97175594862567,2.000,-7.662,,2.000,NaN,20.83126244994224,NaN
0.000,,15.907,3.706,45.725,,85.36631976625956,45.87493935690815,2.000,-5.380,,2.000,NaN,15.738459215556322,NaN
0.000,,15.895,2.948,45.791,,86.31641199909043,45.88579720349206,2.000,-7.088,,2.000,NaN,19.535810121519816,NaN
0.000,,15.883,1.448,45.681,,88.1844416968615,45.70394364822362,2.000,-5.795,,2.000,NaN,16.65267666032086,NaN
0.000,,15.881,2.094,45.853,,87.38525154776278,45.90078915443612,2.000,-6.196,,2.000,NaN,17.541336060758827,NaN
0.000,,15.836,2.794,45.749,,86.50515152853154,45.83423869772465,2.000,-7.521,,2.000,NaN,20.512220208774167,NaN
0.000,,15.826,1.022,45.831,,88.7225549591673,45.84239353480575,2.000,-7.827,,2.000,NaN,21.20526525938388,NaN
0.000,,15.822,2.627,45.715,,86.71113064565282,45.790417709385444,2.000,-7.128,,2.000,NaN,19.62579285766493,NaN
0.000,,15.812,2.538,45.927,,86.8369601250191,45.997073526475575,2.000,-7.035,,2.000,NaN,19.416652482843524,NaN
0.000,,15.795,0.882,45.658,,88.89332443488036,45.66651823820161,2.000,-7.044,,2.000,NaN,19.436881195506988,NaN
0.000,,15.768,3.180,45.775,,86.0260334727658,45.885324723706596,2.000,-8.959,,2.000,NaN,23.788883916159023,NaN
0.000,,15.759,2.200,45.866,,87.25386606522468,45.9187320817986,2.000,-6.165,,2.000,NaN,17.47245514173266,NaN
0.000,,88.936,13.976,26.965,,62.60222487274658,30.37169407524052,1.100,35.048,,0.700,85.8060161741071,1.922306321290368,0.04666746223531968
0.000,,88.791,11.854,27.010,,66.3045551612151,29.496735683800676,1.700,34.438,,1.400,NaN,84.49282736039143,NaN
0.000,,88.753,15.635,26.881,,59.8161080711391,31.09728904583163,1.000,38.067,,0.600,93.18634437687619,1.95787825802155,0.03955642751754694
0.000,,88.738,16.114,26.751,,58.93650133182143,31.229425178827743,1.100,39.118,,0.800,95.77147974985289,1.615041549780782,0.037453539760928835
0.000,,88.702,8.408,27.024,,72.7174706588057,28.301785102710397,1.400,33.939,,0.900,83.12810600463358,1.4926408119172718,0.04975820192200478
0.000,,88.569,6.162,26.889,,77.09271786031974,27.586021188275776,1.500,37.588,,1.100,NaN,92.09091051461797,NaN
0.000,,88.350,8.041,26.711,,73.24626013488191,27.89507486994792,1.900,36.428,,1.500,NaN,89.43461348936486,NaN
0.000,,88.185,7.125,26.883,,75.1557715515146,27.811172467193824,1.400,37.786,,1.000,92.5504354383922,0,0.04012922023865078
MAYO,-61.363999999999976,10.359,-3.904,-15.174,,-104.42826110520863,15.668168112450159,1.900,1.200,,0.000,4.6505386784758596,2.9371823232479115,90
PALM,-61.406000000000006,10.292,-3.793,-15.196,,-104.0149495297596,15.662224139629723,5.200,4.400,,0.000,12.727790067407618,10.769668518575676,90
PLND,-61.601999999999975,10.191,-6.642,-15.127,,-113.7054342062059,16.52096525630388,3.700,6.700,,0.000,16.399267971467506,9.056312163347727,1.8357747405456943
SMRY,-61.31099999999998,10.185,-8.018,-13.933,,-119.91906297162953,16.075347990012535,3.200,8.000,,0.000,19.581215488319412,7.832486195327766,1.0656468134208763
SNDO,-61.459,10.280,-8.079,-12.700,,-122.46214188575848,15.051918183407722,2.600,7.100,,0.000,17.378328745883476,6.363895033703808,1.3123885190650433
WESS,-61.42500000000001,10.333,-6.088,-16.382,,-110.38644529606917,17.476660665012638,3.500,1.700,,0.000,8.566781776139742,4.161008291267875,90
KAMN,143.362,38.888,22.925,-52.176,,-66.28035750461522,56.990267598950616,1.000,2.000,,0.000,4.895303872079853,2.4476519360399265,18.434948822922014
KAMS,143.263,38.636,8.930,-45.243,,-78.8345584793267,46.11587523836016,5.000,12.000,,0.000,29.371823232479116,12.238259680199631,0.48146580583835247
MYGI,142.917,38.081,25.945,-54.396,,-64.50048145544164,60.26663953631395,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
MYGW,142.433,38.149,10.967,-55.406,,-78.80366540107576,56.480969582683336,4.000,2.000,,0.000,9.790607744159706,4.895303872079853,90
FUKU,142.081,37.166,4.983,-36.659,,-82.25931616653017,36.99611560691203,7.000,7.000,,0.000,17.133563552279483,17.133563552279483,90
BUTR,-62.545000000000016,17.172,-0.836,-5.910,,-98.0513658446578,5.9688353972948525,5.700,3.700,,0.000,13.95161603542758,9.056312163347728,90
MLLY,-62.589999999999975,17.176,2.181,-5.606,,-68.74160353124496,6.015313541287769,9.500,3.500,,0.000,23.2526933923793,8.566781776139742,90
NVPK,-62.58300000000003,17.151,-0.422,-7.417,,-93.2564081201778,7.428995423339551,5.700,3.600,,0.000,13.95161603542758,8.811546969743736,90
SDDL,-62.57600000000002,17.117,-0.825,-5.833,,-98.05032625793274,5.891053725777758,5.900,3.200,,0.000,14.441146422635565,7.832486195327765,90
HLGT,-63.230999999999995,17.743,1.515,-4.703,,-72.14444343178249,4.940995243875468,6.000,3.000,,0.000,14.685911616239558,7.342955808119779,90
LEVL,-63.226,17.625,-2.087,-2.957,,-125.21378912427275,3.6193118130384954,5.200,3.100,,0.000,12.727790067407618,7.587721001723772,90.00000000000011
MTSC,-63.23700000000002,17.643,-2.583,-5.048,,-117.09827199841833,5.670466735640021,3.800,2.700,,0.000,9.301077356951719,6.6086602273078014,90
STJN,-63.242999999999995,17.620,-2.081,-1.658,,-141.45453428962722,2.6607376796670503,4.700,2.900,,0.000,11.503964099387655,7.0981906145157865,90
WBAY,-63.25400000000002,17.639,0.924,-2.048,,-65.71644259204749,2.2467932704189764,5.000,3.100,,0.000,12.238259680199631,7.5877210017237715,90
NONA,-62.94799999999998,17.478,0.111,-1.143,,-84.45323630284368,1.148377115759453,5.100,3.100,,0.000,12.483024873803624,7.587721001723772,90
RIHL,-62.97399999999999,17.485,-2.479,-0.538,,-167.75537820270466,2.5367075117167137,4.200,2.900,,0.000,10.280138131367691,7.098190614515787,90
SGLF,-62.96199999999999,17.465,1.216,3.651,,71.57917619433964,3.8481758015974266,5.100,2.800,,0.000,12.483024873803624,6.853425420911793,90
TBRN,-62.77199999999999,17.382,1.146,2.900,,68.43743528103394,3.118223212023155,5.100,3.000,,0.000,12.483024873803624,7.342955808119779,90
TKPK,-62.72000000000003,17.312,2.428,2.564,,46.56055669889546,3.5311867693453993,4.600,3.200,,0.000,11.259198905783661,7.832486195327765,90
WALK,-62.81999999999999,17.349,-0.636,2.089,,106.93296990897646,2.183670533757325,11.000,6.200,,0.000,26.92417129643919,15.175442003447545,90
SJ02,-28.209000000000003,38.678,-8.706,3.142,,160.15545999429716,9.255625316530482,0.160,0.280,,0.000,0.6853425420911795,0.3916243097663882,86.97758942242496
SJ03,-28.166999999999973,38.680,-8.852,3.952,,155.9414940563362,9.694132658469245,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ04,-28.161,38.656,-8.743,3.903,,155.9433335916577,9.574625736810813,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
SJ05,-28.15300000000002,38.701,-8.724,3.934,,155.72748511224222,9.569980773230425,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ07,-28.112000000000023,38.637,-8.630,3.374,,158.64640202930852,9.266109000006422,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ08,-28.103999999999985,38.682,-9.132,3.356,,159.82167520185925,9.729139735865653,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ09,-28.057000000000016,38.643,-9.429,2.701,,164.01528622560258,9.808233378136961,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ10,-28.050999999999988,38.680,-8.529,3.411,,158.20206530165493,9.185791310496882,0.260,0.360,,0.000,0.8811546969743735,0.6363895033703808,86.45220293033212
SJ11,-28.024,38.602,-9.284,2.889,,162.71487551878832,9.723115601493177,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ12,-27.99799999999999,38.642,-9.428,2.635,,164.3850324142908,9.789300741115273,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ13,-27.959000000000003,38.616,-10.184,2.306,,167.24145808663653,10.441814593259162,0.250,0.350,,0.000,0.8566781776139741,0.6119129840099816,86.56636963754949
SJ14,-27.932999999999993,38.598,-9.387,2.774,,163.5367956391249,9.788301435897855,0.230,0.350,,0.000,0.8566781776139742,0.5629599452891831,86.01863425323646
SJ15,-27.887999999999977,38.575,-9.585,2.264,,166.71017936403123,9.848752255996697,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ16,-27.853999999999985,38.558,-9.280,2.910,,162.58974447507492,9.725559109891831,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
SJ17,-27.793000000000006,38.549,-9.780,2.792,,164.06698501391077,10.170725834472188,0.240,0.350,,0.000,0.8566781776139741,0.5874364646495823,86.2867115360836
TBIS,-27.25200000000001,38.796,-10.560,6.537,,148.24108028155013,12.41958006536453,0.618,0.563,,-0.076,1.5311574516578452,1.357433173763133,89.46123416357257
TCAP,-27.107000000000028,38.785,-9.591,4.976,,152.57882509435058,10.804992225818582,0.768,0.678,,-0.032,1.8831393529673364,1.6557139261677307,89.87970640427757
TCAT,-27.211000000000013,38.793,-10.906,4.966,,155.5180580236159,11.983404858386452,0.657,0.584,,-0.063,1.6193307495449427,1.4167016547524092,89.65358120510264
TCCD,-27.286,38.661,-7.255,4.853,,146.22072364915005,8.728495517556276,0.670,0.604,,-0.046,1.6471022474980537,1.4703831957305757,89.7744339292117
TOMA,-27.223000000000013,38.659,-7.365,4.597,,148.0288942213921,8.681914189854679,0.120,0.180,,0.000,0.44057734848718677,0.29371823232479116,88.96878733011205
TFON,-27.08699999999999,38.734,-7.644,4.834,,147.69109073677495,9.044240819438633,1.103,1.010,,-0.024,2.7037213543695175,2.4677954649699525,89.79529452647688
TGOL,-27.160000000000025,38.729,-8.073,4.382,,151.50702402154917,9.185600307002261,0.918,0.798,,-0.032,2.250454488673803,1.9491810696823246,89.84902944587718
TMAC,-27.269000000000005,38.754,-10.538,6.049,,150.1434072228929,12.150713765042777,0.839,0.738,,-0.023,2.055421896248148,1.804270972837413,89.92761799069484
TPBG,-27.274999999999977,38.721,-7.897,4.860,,148.39087855424006,9.272659219447245,0.688,0.620,,-0.063,1.6972535819180783,1.5026891171051489,89.57092740393279
TPFF,-27.288999999999987,38.707,-9.115,6.129,,146.0827933618373,10.98398224689024,0.636,0.577,,-0.072,1.5733542690233404,1.3937250514882873,89.50166915997458
TPJD,-27.101,38.656,-7.863,4.653,,149.3846986935224,9.136584591629413,0.632,0.573,,-0.052,1.5559517164580234,1.3924735110770796,89.73187033374249
TPTE,-27.363999999999976,38.730,-8.414,5.027,,149.14351440360127,9.801332817530481,0.831,0.747,,-0.073,2.0545291569590107,1.8052957688991842,89.19728896078846
TPVT,-27.053999999999974,38.734,-7.830,2.546,,161.98756578218664,8.233529984156249,0.773,0.701,,0.017,1.8932910437968526,1.7144178759796642,89.95452740185794
TQRB,-27.206000000000017,38.790,-8.227,6.054,,143.65177459333276,10.21442338069066,1.509,1.917,,-0.068,4.709452290371963,3.6714181721387007,35.06014140895976
TRAM,-27.351,38.778,-9.106,6.798,,143.25716167311165,11.36362794181506,0.764,0.667,,-0.041,1.8749279360949913,1.626928999511219,89.82372322334682
TSBR,-27.13900000000001,38.757,-9.117,4.636,,153.04663619276522,10.228009825963213,0.669,0.602,,-0.085,1.6593850851248804,1.4487723956043246,89.30933852536243
TSER,-27.156000000000006,38.649,-9.375,3.876,,157.53784141713103,10.144653813708972,0.699,0.619,,-0.029,1.7134851319611666,1.5121821466172722,89.91562285459054
BNKR,-61.459,10.339,-6.329,-5.303,,-140.04072601145413,8.257000060554681,5.500,4.700,,0.000,13.462085648219595,11.503964099387655,90
MTTB,-61.396000000000015,10.681,-2.652,-2.265,,-139.5002745535783,3.4875964502791894,1.200,1.400,,0.000,3.4267127104558965,2.9371823232479115,62.52556837372289
PUND,-61.418000000000006,10.377,-5.044,-7.489,,-123.96110067696749,9.029233466911796,2.200,3.400,,0.000,8.322016582535749,5.384834259287838,8.464045663962684
SRUX,-61.39999999999998,10.653,-3.250,-2.077,,-147.41829281085603,3.8569974073105104,0.700,1.000,,0.000,2.447651936039926,1.7133563552279485,62.978418408822954
TANK,-61.43799999999999,10.395,-2.936,-5.881,,-116.52996735947224,6.5731466589450145,3.300,3.000,,0.000,8.077251388931757,7.34295580811978,90
KMN_,136.508,33.726,13.838,-36.652,,-69.31591973205319,39.17728101846784,4.000,4.000,,0.000,9.790607744159706,9.790607744159706,90
KMS_,136.612,33.557,12.865,-38.624,,-71.5779579371996,40.71021494661997,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
KME_,137.117,33.885,12.995,-38.533,,-71.36366086581025,40.665244546172346,5.000,5.000,,0.000,12.238259680199631,12.238259680199631,90
0.000,,23.521,-17.192,35.303,,115.9653461894739,39.26661015417552,0.270,-32.424,,0.280,79.36288211075785,0.6344296572101965,0.05450258167499544
0.000,,24.109,-15.148,34.839,,113.49940757380764,37.98970682961373,0.060,-33.716,,0.090,82.5250337339774,0.1462631255355544,0.05040246703699026
