Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-4.644,-24.360,,-100.79337637843307,24.79871641839553,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,23.155,-67.787,,-71.14061952796446,71.63261403857882,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-4.634,-21.571,,-102.124321272924,22.063136608379146,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,0.325,0.259,,38.55215002018656,0.4155791140083919,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-0.448,-0.217,,-154.1556124454397,0.4977881075317087,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-0.030,0.708,,92.42633583160237,0.7086353081804491,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,1.145,-0.020,,-1.0006978778588334,1.145174659167762,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,0.888,1.075,,50.44170943272924,1.3943346083347425,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,0.537,1.379,,68.72343364537005,1.4798682373779093,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,0.245,0.507,,64.20855411411226,0.5630932427227306,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,38.728,-39.193,,-45.341913235395985,55.09944857255833,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,14.770,-32.431,,-65.51413034600968,35.63597425355451,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,30.574,-41.927,,-53.89972723244801,51.89068129250184,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,23.975,-37.935,,-57.70702715917835,44.87610555741218,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,10.638,-25.656,,-67.47915552717164,27.774041477609988,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,15.244,-37.002,,-67.60942972160254,40.01908969479441,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,7.678,-30.472,,-75.85762551501725,31.424424704360142,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,7.213,-30.232,,-76.58077309330815,31.080559727907087,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-8.043,-3.459,,-156.72922911302015,8.755257277773165,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,6.476,-19.182,,-71.34489728631262,20.245683490561635,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
