Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,28.186,-51.113,,-61.125687942411254,58.36942148933806,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,54.690,-95.201,,-60.123978424910376,109.79174149725469,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,27.206,-49.405,,-61.1596096310579,56.40053599922611,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-35.893,-23.569,,-146.70925002401043,42.93955297857676,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-36.537,-24.292,,-146.38164497074672,43.875433137463155,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-36.069,-23.497,,-146.9179350431642,43.04743627674011,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-34.417,-25.064,,-143.9362168748992,42.57621384059414,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-34.618,-24.128,,-145.1243340928174,42.19675707918797,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-34.573,-24.504,,-144.6724665132063,42.37615302266123,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-33.792,-26.964,,-141.41222125564386,43.23143023310703,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,1.545,-61.365,,-88.55775634334185,61.38444631989442,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-22.380,-54.587,,-112.29302711316738,58.99665218467909,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,-6.533,-64.123,,-95.81735429217417,64.45493943833941,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,-13.106,-60.124,,-102.29713255495506,61.535864436928165,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,-26.465,-47.827,,-118.95788406731488,54.660938100255834,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,-21.796,-59.184,,-110.21750155532398,63.06989354676286,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,-29.390,-52.641,,-119.17506260300577,60.289692162093516,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,-29.851,-52.408,,-119.66534642602957,60.31318815151459,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-44.928,-25.594,,-150.33126160342982,51.70665353704492,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,-30.415,-41.318,,-126.35752219123319,51.30545145498673,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,-21.084,-48.776,,-113.3769826638345,53.13787003634979,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,12.698,-92.735,,-82.20310199974897,93.60031746206847,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,-3.693,-58.610,,-93.60542491935156,58.72623220503764,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,-0.702,-78.085,,-90.51508681116157,78.08815549748886,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,-24.641,-33.859,,-126.04537963218732,41.87613594877159,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,-26.076,-48.707,,-118.16301684338151,55.24789249374134,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,-13.606,-37.458,,-109.96271665306251,39.8525406969242,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,-10.688,5.470,,152.8971363971012,12.006425113246657,6.000,-37.777,,4.000,NaN,105.96573671638099,NaN
0.000,,95.250,-12.715,5.365,,157.12304749604127,13.80052354079366,6.000,-36.779,,4.000,NaN,103.71566868370832,NaN
0.029,,95.253,-9.707,5.398,,150.9218468774125,11.106946159948738,6.000,-34.780,,4.000,NaN,99.21831604945436,NaN
0.029,,95.272,-9.678,5.517,,150.31444693240178,11.140061624605137,6.000,-32.784,,4.000,NaN,94.73975805577375,NaN
0.028,,95.308,-18.676,5.536,,163.48895372767691,19.479226678695433,6.000,-35.793,,4.000,NaN,101.4957998363315,NaN
0.022,,95.321,-19.672,5.554,,164.2340234065251,20.44100046475221,6.000,-33.795,,4.000,NaN,97.00676394965143,NaN
0.025,,95.354,-21.668,5.581,,165.55633999416042,22.375204691801144,6.000,-29.803,,4.000,NaN,88.07077792034175,NaN
-0.065,,95.399,-9.661,5.616,,149.83029403317576,11.174720443930577,6.000,-39.813,,4.000,NaN,110.56621576722222,NaN
0.023,,95.405,-19.658,5.630,,164.01842523648648,20.448321789330294,6.000,-32.815,,4.000,NaN,94.80922814919087,NaN
0.026,,95.488,-17.669,5.606,,162.39686805528186,18.537011544475018,6.000,-35.833,,4.000,NaN,101.58579547121856,NaN
0.026,,95.539,-8.674,5.598,,147.16273267285445,10.32355946367337,6.000,-40.844,,4.000,NaN,112.90110385742,NaN
0.000,,16.233,15.874,45.860,,70.90719457427564,48.52961442253585,2.000,1.927,,2.000,NaN,8.324174949998195,NaN
0.000,,16.183,14.479,45.807,,72.45892859868567,48.040843976766276,2.000,2.737,,2.000,NaN,10.041899461980298,NaN
