Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,13.041,19.746,,56.55772913157499,23.66373167951327,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,34.877,-23.100,,-33.51760824810021,41.833182152449275,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,8.451,16.916,,63.45391958856945,18.90953349503895,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-91.125,92.893,,134.4495330814476,130.1263811607777,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-92.288,91.794,,135.1537578206149,130.16609919637295,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-92.019,92.731,,134.77919137725678,130.63894795197947,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-92.158,89.643,,135.79256821612614,128.5650201765628,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-92.561,91.009,,135.4843979472538,129.80823087154374,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-93.855,89.943,,136.21931278877054,129.99424708039967,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-96.258,85.100,,138.5206689610384,128.4819542348263,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,-49.129,61.177,,128.76666728334519,78.46199060691744,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-73.236,67.710,,137.2452173033698,99.74044212855685,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,-57.611,58.195,,134.71106461156393,81.88824913258313,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
