Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,1.496,-0.201,,-7.652335448244523,1.50944261235729,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,29.621,-43.744,,-55.896330993532096,52.82935904400128,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,1.759,2.268,,52.20380346740424,2.8701750817676612,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,1.309,9.127,,81.83826097212936,9.22039098954052,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,0.610,8.658,,85.96988140482017,8.67946219532063,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,1.056,9.728,,83.80465101400985,9.78514792938768,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,2.490,8.951,,74.45443213622964,9.29088268142484,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,2.262,10.335,,77.6544648509478,10.5796440866411,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,2.110,10.851,,78.99603516010396,11.054243574302134,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,2.309,10.238,,77.29058920202654,10.495147688336738,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,39.088,-17.786,,-24.46670092698027,42.94430742252109,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,15.154,-10.947,,-35.843726472801414,18.694398225136855,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,30.989,-20.465,,-33.44059794585737,37.13669810308935,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,24.408,-16.426,,-33.93961014411212,29.42046804522321,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,11.055,-4.140,,-20.53048196450704,11.804771281138825,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,15.706,-15.433,,-44.49769269823736,22.019444248209354,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,8.121,-8.911,,-47.655662719583724,12.056390919342322,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,7.658,-8.679,,-48.57611603299634,11.574541243608751,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-7.475,18.346,,112.16823065935738,19.810384675719956,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,7.040,2.617,,20.391759256475915,7.5106783315490215,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,16.371,-4.844,,-16.482909832610908,17.072608968754597,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,50.150,-48.795,,-44.215413325093635,69.97124069930445,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,33.760,-14.674,,-23.49248371675365,36.81119226539668,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,36.753,-34.155,,-42.90167709604154,50.17317045991812,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,12.812,10.080,,38.19433831610475,16.301955220156874,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,11.378,-4.771,,-22.749180414404798,12.337800654897938,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,23.849,6.475,,15.189641094237292,24.712353712263024,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,31.674,5.470,,9.798156017211841,32.142855753650764,6.000,-3.143,,4.000,NaN,24.41446460968241,NaN
0.000,,95.250,29.683,5.365,,10.245213470164368,30.16394725495985,6.000,-2.143,,4.000,NaN,21.065772081848444,NaN
0.029,,95.253,32.680,5.398,,9.37928408026914,33.122813950508494,6.000,-0.143,,4.000,NaN,14.751940406106277,NaN
0.029,,95.272,32.670,5.517,,9.585137070014703,33.132554821504485,6.000,1.858,,4.000,NaN,20.06401085531073,NaN
0.028,,95.308,23.668,5.536,,13.164935420688698,24.30682044200763,6.000,-1.142,,4.000,NaN,17.494963391032208,NaN
0.022,,95.321,22.667,5.554,,13.767695658316732,23.33751925548215,6.000,0.859,,4.000,NaN,16.509577033641616,NaN
0.025,,95.354,20.664,5.581,,15.114020087313186,21.40440274803294,6.000,4.860,,4.000,NaN,29.6372087348563,NaN
-0.065,,95.399,32.662,5.616,,9.756205358149636,33.141299008940486,6.000,-5.139,,4.000,NaN,30.437006747180295,NaN
0.023,,95.405,22.661,5.630,,13.952329855370934,23.349899807065555,6.000,1.861,,4.000,NaN,20.074654701554948,NaN
0.026,,95.488,24.663,5.606,,12.805973042047714,25.292109540328976,6.000,-1.136,,4.000,NaN,17.473590900670274,NaN
0.026,,95.539,33.663,5.598,,9.441620473352604,34.12528641638045,6.000,-6.134,,4.000,NaN,33.204383077164394,NaN
0.000,,16.233,20.072,45.860,,66.36197151529377,50.06021158564954,2.000,-6.028,,2.000,NaN,17.168407800112817,NaN
0.000,,16.183,18.735,45.807,,67.75550596528161,49.49021594214356,2.000,-5.251,,2.000,NaN,15.455434517573178,NaN
0.000,,16.139,18.394,45.850,,68.14044147043941,49.402041820151524,2.000,-7.772,,2.000,NaN,21.080520077425927,NaN
0.000,,16.135,18.414,45.926,,68.1517145439006,49.480024979783515,2.000,-8.174,,2.000,NaN,21.994037353645897,NaN
0.000,,16.132,19.350,45.893,,67.1381099495947,49.805521270236696,2.000,-7.675,,2.000,NaN,20.86070387774462,NaN
0.000,,16.116,19.679,45.774,,66.73633070138274,49.82491462110096,2.000,-6.983,,2.000,NaN,19.29982056630561,NaN
0.000,,16.091,19.166,45.976,,67.37022507354664,49.810923821989086,2.000,-6.595,,2.000,NaN,18.430548309122912,NaN
0.000,,16.085,19.445,45.903,,67.041966558823,49.85171445396838,2.000,-7.897,,2.000,NaN,21.364142747371073,NaN
0.000,,16.078,18.619,45.928,,67.93259271390329,49.55853453240925,2.000,-8.500,,2.000,NaN,22.737715645506885,NaN
0.000,,16.076,18.964,45.793,,67.50435918123439,49.56442418711227,2.000,-7.001,,2.000,NaN,19.34025366770252,NaN
0.000,,16.066,20.231,45.731,,66.13581476404283,50.006176838466665,2.000,-6.207,,2.000,NaN,17.565784901067765,NaN
0.000,,16.025,18.637,45.730,,67.82692855983201,49.381886041341104,2.000,-6.525,,2.000,NaN,18.27419513112501,NaN
0.000,,16.017,19.051,45.811,,67.41948782392713,49.61439631800431,2.000,-6.630,,2.000,NaN,18.508780025620144,NaN
0.000,,16.015,19.082,45.876,,67.41526177909459,49.68631702994296,2.000,-7.031,,2.000,NaN,19.40766268151536,NaN
0.000,,16.010,21.263,45.707,,65.05204439789438,50.41076291824991,2.000,-5.433,,2.000,NaN,15.854900056002487,NaN
0.000,,15.981,19.596,45.773,,66.82362072416235,49.79127177528206,2.000,-5.546,,2.000,NaN,16.1034695682978,NaN
0.000,,15.975,18.163,45.993,,68.45054392304525,49.44947540672196,2.000,-8.749,,2.000,NaN,23.307382195844127,NaN
0.000,,15.940,20.300,45.869,,66.12751021236866,50.16029466619988,2.000,-6.765,,2.000,NaN,18.810872008121187,NaN
0.000,,15.907,20.958,45.725,,65.3757017245834,50.299238453479596,2.000,-4.480,,2.000,NaN,13.775347952616203,NaN
0.000,,15.895,20.189,45.791,,66.20758148800239,50.044094576683065,2.000,-6.187,,2.000,NaN,17.521335276678023,NaN
0.000,,15.883,18.707,45.681,,67.73022310718503,49.36299838948197,2.000,-4.892,,2.000,NaN,14.670695879176172,NaN
0.000,,15.881,19.324,45.853,,67.14780203510844,49.75856293141915,2.000,-5.293,,2.000,NaN,15.547521639299275,NaN
0.000,,15.836,20.041,45.749,,66.34349405440697,49.94609776549115,2.000,-6.614,,2.000,NaN,18.473012410539827,NaN
0.000,,15.826,18.255,45.831,,68.28205446632268,49.332804359776674,2.000,-6.919,,2.000,NaN,19.156133543421046,NaN
0.000,,15.822,19.879,45.715,,66.49836384751855,49.8501340620063,2.000,-6.220,,2.000,NaN,17.594683854991963,NaN
0.000,,15.812,19.754,45.927,,66.72662048712371,49.995098209724524,2.000,-6.126,,2.000,NaN,17.38584129701767,NaN
0.000,,15.795,18.144,45.658,,68.32765727970296,49.13102583907648,2.000,-6.133,,2.000,NaN,17.40138385342044,NaN
0.000,,15.768,20.422,45.775,,65.95649942955664,50.12393349488845,2.000,-8.046,,2.000,NaN,21.702732706485346,NaN
0.000,,15.759,19.426,45.866,,67.0454897826451,49.81023420944736,2.000,-5.250,,2.000,NaN,15.453242679217714,NaN
0.000,,88.936,32.081,26.965,,40.04801384857736,41.90825438979772,1.100,30.036,,0.700,73.54184399372325,1.9221384806701323,0.06355288015216154
0.000,,88.791,29.959,27.010,,42.0367291795005,40.337101792270595,1.700,29.433,,1.400,NaN,72.27613718475703,NaN
0.000,,88.753,33.757,26.881,,38.53062241451206,43.15232566154459,1.000,33.063,,0.600,80.940048055915,1.9577990155197942,0.05244357009010975
0.000,,88.738,34.251,26.751,,37.990843265765406,43.45971700322035,1.100,34.114,,0.800,83.5269852052615,1.6149128632922767,0.049251528695125696
0.000,,88.702,26.515,27.024,,45.544699624072976,37.859500802308524,1.400,28.938,,0.900,70.89729140528149,1.492254937536133,0.0684507500936234
0.000,,88.569,24.290,26.889,,47.90712833004312,36.23565124294029,1.500,32.592,,1.100,NaN,79.87599077264943,NaN
0.000,,88.350,26.198,26.711,,45.55551633688965,37.414071216589086,1.900,31.442,,1.500,NaN,77.2731606905535,NaN
0.000,,88.185,25.269,26.883,,46.77262389629993,36.89468864213384,1.400,32.807,,1.000,80.37319926915315,0,0.05323404534525634
MAYO,-61.363999999999976,10.359,1.674,3.632,,65.25487817423684,3.9992124224652033,1.900,1.200,,0.000,4.6505386784758596,2.9371823232479115,90
PALM,-61.406000000000006,10.292,1.784,3.613,,63.72110738453791,4.029444750831062,5.200,4.400,,0.000,12.727790067407618,10.769668518575676,90
PLND,-61.601999999999975,10.191,-1.064,3.685,,106.10544529310597,3.8355339915062676,3.700,6.700,,0.000,16.399267971467506,9.056312163347727,1.8357747405456943
SMRY,-61.31099999999998,10.185,-2.441,4.884,,116.55566535039266,5.460030860718646,3.200,8.000,,0.000,19.581215488319412,7.832486195327766,1.0656468134208763
SNDO,-61.459,10.280,-2.501,6.110,,112.26070706129325,6.602052786823202,2.600,7.100,,0.000,17.378328745883476,6.363895033703808,1.3123885190650433
WESS,-61.42500000000001,10.333,-0.510,2.425,,101.87674994886875,2.478048627448622,3.500,1.700,,0.000,8.566781776139742,4.161008291267875,90
KAMN,143.362,38.888,18.000,-39.000,,-65.22485943116808,42.95346318982906,1.000,2.000,,0.000,4.895303872079853,2.4476519360399265,18.434948822922014
KAMS,143.263,38.636,4.000,-32.000,,-82.87498365109819,32.2490309931942,5.000,12.000,,0.000,29.371823232479116,12.238259680199631,0.48146580583835247
MYGI,142.917,38.081,21.000,-41.000,,-62.87869659584134,46.06517122512408,5.000,4.000,,0.000,12.238259680199631,9.790607744159704,90
MYGW,142.433,38.149,6.000,-42.000,,-81.86989764584403,42.42640687119285,4.000,2.000,,0.000,9.790607744159706,4.895303872079853,90
FUKU,142.081,37.166,0.000,-23.000,,-90,23,7.000,7.000,,0.000,17.133563552279483,17.133563552279483,90
BUTR,-62.545000000000016,17.172,4.747,12.362,,68.99324288302073,13.242093980938211,5.700,3.700,,0.000,13.95161603542758,9.056312163347728,90
MLLY,-62.589999999999975,17.176,7.764,12.665,,58.49053548028365,14.855366740676583,9.500,3.500,,0.000,23.2526933923793,8.566781776139742,90
NVPK,-62.58300000000003,17.151,5.161,10.856,,64.57333754430877,12.020343464310827,5.700,3.600,,0.000,13.95161603542758,8.811546969743736,90
SDDL,-62.57600000000002,17.117,4.759,12.444,,69.07148133729284,13.322958267592076,5.900,3.200,,0.000,14.441146422635565,7.832486195327765,90
HLGT,-63.230999999999995,17.743,7.100,13.494,,62.24845979348684,15.247886279743826,6.000,3.000,,0.000,14.685911616239558,7.342955808119779,90
LEVL,-63.226,17.625,3.498,15.253,,77.08359497349889,15.648962042256988,5.200,3.100,,0.000,12.727790067407618,7.587721001723772,90.00000000000011
MTSC,-63.23700000000002,17.643,3.003,13.159,,77.14474382214381,13.49730676838902,3.800,2.700,,0.000,9.301077356951719,6.6086602273078014,90
STJN,-63.242999999999995,17.620,3.505,16.551,,78.04314290588461,16.918056212224855,4.700,2.900,,0.000,11.503964099387655,7.0981906145157865,90
WBAY,-63.25400000000002,17.639,6.509,16.159,,68.05995176884761,17.420687759098374,5.000,3.100,,0.000,12.238259680199631,7.5877210017237715,90
NONA,-62.94799999999998,17.478,5.696,17.089,,71.56605701910715,18.01328223839287,5.100,3.100,,0.000,12.483024873803624,7.587721001723772,90
RIHL,-62.97399999999999,17.485,3.105,17.692,,80.04579058269788,17.962402094374795,4.200,2.900,,0.000,10.280138131367691,7.098190614515787,90
SGLF,-62.96199999999999,17.465,6.801,21.884,,72.73606182057797,22.916436393994594,5.100,2.800,,0.000,12.483024873803624,6.853425420911793,90
TBRN,-62.77199999999999,17.382,6.730,21.146,,72.3456260316353,22.191129218676547,5.100,3.000,,0.000,12.483024873803624,7.342955808119779,90
TKPK,-62.72000000000003,17.312,8.012,20.819,,68.95124029815507,22.307462988874374,4.600,3.200,,0.000,11.259198905783661,7.832486195327765,90
WALK,-62.81999999999999,17.349,4.948,20.337,,76.3256016313858,20.930271689588743,11.000,6.200,,0.000,26.92417129643919,15.175442003447545,90
SJ02,-28.209000000000003,38.678,-4.221,20.102,,101.85863257257238,20.54038083872838,0.160,0.280,,0.000,0.6853425420911795,0.3916243097663882,86.97758942242496
SJ03,-28.166999999999973,38.680,-4.370,20.913,,101.80274765252842,21.36470147228835,0.250,0.360,,0.000,0.8811546969743734,0.6119129840099816,86.16120756618942
