Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-4.427,-37.717,,-96.69441204174522,37.975918922390804,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,25.018,-81.427,,-72.92071109555368,85.18366423792769,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-3.146,-33.449,,-95.37306992552807,33.596620618746755,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,22.696,-29.418,,-52.34979787493837,37.155445630485985,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,22.069,-29.742,,-53.42404329114781,37.03548737359885,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,22.542,-28.817,,-51.96582633295189,36.58635337116833,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,24.214,-28.966,,-50.10621167229949,37.75376738816936,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,24.012,-27.931,,-49.31468238091994,36.83363822649074,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,24.028,-27.283,,-48.629790798816785,36.355286726967236,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,24.588,-27.153,,-47.838048369936665,36.631341130239825,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,59.800,-69.105,,-49.12873133462622,91.38676613711638,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,35.894,-62.262,,-60.03658077883185,71.86748833791258,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,51.763,-71.761,,-54.19614793452194,88.48191504482709,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,45.204,-67.717,,-56.27519108471366,81.41863241912137,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,31.834,-55.440,,-60.135283928325755,63.92962659049402,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,36.534,-66.715,,-61.29431487692198,76.06329194164555,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,28.927,-60.202,,-64.33576248792875,66.79110818814134,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,28.469,-59.968,,-64.60460008067955,66.3825653692293,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,13.474,-32.899,,-67.72812702763683,35.55127110245146,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,27.984,-48.630,,-60.0818434062295,56.10687262715683,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,37.314,-56.091,,-56.36654394374786,67.3686490661643,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,71.101,-100.039,,-54.597342672127866,122.73204032362536,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,54.708,-65.920,,-50.31020894011297,85.66452978917236,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,57.697,-85.402,,-55.95731193216399,103.06524832842543,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,33.761,-41.165,,-50.64350386478657,53.23872975569571,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,32.324,-56.017,,-60.0133727484239,64.67414680535029,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,44.793,-44.772,,-44.98656605428765,63.3320205977987,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,-20.250,5.470,,164.8838321539783,20.975781272696377,6.000,10.549,,4.000,NaN,44.436816166891724,NaN
0.000,,95.250,-22.216,5.365,,166.4234311540968,22.85462493676061,6.000,11.551,,4.000,NaN,46.83811315337533,NaN
0.029,,95.253,-19.227,5.398,,164.31785898358322,19.970376386037394,6.000,13.551,,4.000,NaN,51.5351554541233,NaN
0.029,,95.272,-19.264,5.517,,164.01886346445866,20.03843768860237,6.000,15.558,,4.000,NaN,56.15589595716786,NaN
0.028,,95.308,-28.269,5.536,,168.9198251749905,28.80596564949698,6.000,12.571,,4.000,NaN,49.24751561477164,NaN
