Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-27.541,41.419,,123.62137869257629,49.739724989187465,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,-2.294,-0.905,,-158.47039827201027,2.4660618402627295,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-29.509,41.494,,125.41903203443613,50.91692367965685,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-21.633,92.168,,103.20895052563418,94.6727358482895,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-22.796,91.541,,103.98365557317533,94.33669644947294,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-22.528,92.655,,103.66564223039967,95.35439061207407,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-22.717,91.236,,103.98185357436647,94.02164530043069,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-23.130,92.764,,104.0007775497669,95.6041662062904,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-24.515,92.940,,104.77648211297813,96.11882658979978,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-27.320,91.185,,106.67877754432256,95.1897401246584,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,20.143,59.237,,71.21986865414488,62.568063882463235,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-3.948,65.844,,93.43134133636865,65.96225466128337,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,11.695,56.374,,78.28001735807759,57.574307646727284,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,4.994,60.271,,85.26334431526601,60.47754522961394,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,-8.260,72.543,,96.49592150380694,73.01174185704653,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,-3.893,61.077,,93.6470543686317,61.200942623459646,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,-11.354,67.631,,99.53003761807588,68.57744145854379,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,-11.837,67.883,,99.89141567305397,68.90730192076889,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-27.759,94.094,,106.4367706400963,98.10322582361907,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,-13.220,78.386,,99.57299481877187,79.49297702313079,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,-3.882,70.936,,93.13240910808489,71.04214256341092,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,29.850,26.967,,42.09519716313634,40.2273736279166,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,13.484,61.096,,77.55423074595534,62.5662806310236,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,16.496,41.648,,68.3924005295793,44.79591409939081,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,-7.475,85.837,,94.97697038493305,86.16186043720272,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,-8.895,71.000,,97.14090715136506,71.55502096289261,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,3.591,82.259,,87.50035142747691,82.33734488067975,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,103.435,5.470,,3.0271787898014186,103.57953526155637,6.000,5.533,,4.000,NaN,31.547788328374995,NaN
0.000,,95.250,101.352,5.365,,3.030085547500244,101.49389700371151,6.000,6.527,,4.000,NaN,34.26569679937631,NaN
0.029,,95.253,104.378,5.398,,2.960464184693313,104.51748795297368,6.000,8.524,,4.000,NaN,39.44630623901717,NaN
0.029,,95.272,104.473,5.517,,3.022862099674185,104.61856918348673,6.000,10.506,,4.000,NaN,44.332892116688456,NaN
0.028,,95.308,95.488,5.536,,3.3180585115469983,95.64834258888128,6.000,7.471,,4.000,NaN,36.75436528771824,NaN
