Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,59.054,63.804,,47.214096512203206,86.9386296878436,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,86.584,19.202,,12.504282207592436,88.68768719501034,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,58.876,63.572,,47.196272585132085,86.64746135923428,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-39.267,23.953,,148.61667069786878,45.996124815031976,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-39.595,23.209,,149.62287940479004,45.895770022955276,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-39.006,24.673,,147.68485812387388,46.154360194893826,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-36.235,22.679,,147.9581032134863,42.747073186359785,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-36.307,24.975,,145.47654432645882,44.067548990158286,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-35.398,25.462,,144.27230235072778,43.604264103410806,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-32.461,23.859,,143.6839244900176,40.28608198869679,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,-4.491,45.121,,95.68406388122568,45.34394912223681,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,-28.313,52.241,,118.45631769232462,59.42009803088514,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,-12.341,42.603,,106.15495113542181,44.35443484027274,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,-18.835,46.807,,111.91971016771676,50.454459406478634,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,-32.259,59.140,,118.61107057187809,67.36603506961056,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,-27.404,48.009,,119.71814115151592,55.27968249727924,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,-35.079,54.522,,122.75689102215117,64.83197301486358,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,-35.527,54.720,,122.99367799456728,65.24144487210565,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-50.084,82.644,,121.21674332293375,96.63559278030016,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,-35.587,66.892,,118.01328184594423,75.76921692217758,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,-26.261,59.418,,113.84401211087865,64.96259573785518,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,7.553,15.480,,63.99133103092774,17.22434930556159,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,-8.854,49.596,,100.1219527250426,50.38012040477871,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,-5.876,30.075,,101.05508415845512,30.643645360824813,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,-29.795,74.365,,111.83394767920937,80.11176723802815,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,-31.240,59.499,,117.70175633549816,67.2017008787724,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,-18.780,70.730,,104.86988855390155,73.1807440519704,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,103.344,5.470,,3.0298394206342687,103.48866235486861,6.000,-59.698,,4.000,NaN,156.1980896803384,NaN
0.000,,95.250,101.390,5.365,,3.0289520155814884,101.53184389638552,6.000,-58.697,,4.000,NaN,153.87335146724678,NaN
0.029,,95.253,104.375,5.398,,2.960549124504353,104.51449195685734,6.000,-56.696,,4.000,NaN,149.23407024596466,NaN
0.029,,95.272,104.321,5.517,,3.0272583480002524,104.46678098802509,6.000,-54.691,,4.000,NaN,144.59643103320747,NaN
0.028,,95.308,95.309,5.536,,3.324276200572221,95.46964322233534,6.000,-57.681,,4.000,NaN,151.51644327905467,NaN
0.022,,95.321,94.300,5.554,,3.370663495095541,94.4634157544602,6.000,-55.677,,4.000,NaN,146.87569069827876,NaN
0.025,,95.354,92.284,5.581,,3.460824848306411,92.45260524722924,6.000,-51.669,,4.000,NaN,137.62810476038942,NaN
-0.065,,95.399,104.265,5.616,,3.0831291676276673,104.41613707181472,6.000,-61.657,,4.000,NaN,160.7550251827591,NaN
0.023,,95.405,94.258,5.630,,3.418197368314559,94.42598934615407,6.000,-54.655,,4.000,NaN,144.51326442755325,NaN
0.026,,95.488,96.260,5.606,,3.333032842831535,96.42310322739048,6.000,-57.632,,4.000,NaN,151.40284243293416,NaN
0.026,,95.539,105.259,5.598,,3.0442991669653687,105.40775438742637,6.000,-62.618,,4.000,NaN,162.9938981965927,NaN
