Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-10.531,-0.032,,-179.82589884138036,10.531048618252601,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,17.054,-43.216,,-68.46469926816329,46.45924635634978,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-10.689,2.252,,168.10269757765215,10.923654379373232,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,0.712,23.625,,88.27376715916232,23.63572653844176,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-0.122,23.151,,90.30193168313032,23.151321452565078,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,0.272,24.180,,89.35550890284394,24.181529810994178,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,1.228,23.400,,86.99595154535298,23.43219972601804,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,0.945,24.701,,87.80907174718908,24.71907008768736,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,0.425,25.136,,89.03133409366339,25.13959269757567,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-0.287,24.375,,90.67458990281244,24.37668956195652,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,39.637,-10.220,,-14.458227293164583,40.93336254206341,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,15.659,-3.461,,-12.46331710347738,16.03691996612816,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,31.439,-12.955,,-22.39498260177714,34.00356960673393,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,24.825,-8.965,,-19.856065090376475,26.39416318052156,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,11.500,3.313,,16.071001074534408,11.96770525205229,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,16.070,-8.034,,-26.562198795962555,17.966359007879145,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,8.520,-1.504,,-10.011048834568891,8.651729075739716,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,8.052,-1.264,,-8.921463156548713,8.150607339333677,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-7.306,25.489,,105.99407363076125,26.515406031211366,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,7.215,9.767,,53.54627342789798,12.142920324205376,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,16.549,2.310,,7.9463150109851615,16.709443467692154,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,50.314,-41.646,,-39.61530245875956,65.31376510353694,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,33.932,-7.523,,-12.500735043130627,34.755951332110016,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,36.929,-26.993,,-36.16468120269133,45.74246484394998,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
0007,124.657,11.121,12.980,17.227,,53.00313042248331,21.569652964292217,4.000,9.000,,0.000,22.02886742435934,9.790607744159706,0.8814039965821377
0008,124.642,11.140,11.550,2.380,,11.643431498761679,11.792662973221951,3.000,8.000,,0.000,19.581215488319412,7.342955808119779,1.041626676009974
0009,124.626,11.158,24.025,13.630,,29.567356155587813,27.62204780605522,3.000,11.000,,0.000,26.92417129643919,7.342955808119779,0.5115558665870411
0.025,,95.244,37.191,5.470,,8.366994922376389,37.59110773840005,6.000,4.523,,4.000,NaN,28.65515581053353,NaN
0.000,,95.250,35.176,5.365,,8.671852046571821,35.5827795569711,6.000,5.522,,4.000,NaN,31.51705675146077,NaN
0.029,,95.253,38.181,5.398,,8.0471000726906,38.56069456065334,6.000,7.521,,4.000,NaN,36.884041315842175,NaN
0.029,,95.272,38.198,5.517,,8.218490917271524,38.594358305327475,6.000,9.518,,4.000,NaN,41.9223002724958,NaN
0.028,,95.308,29.201,5.536,,10.73488047852245,29.721132162150216,6.000,6.510,,4.000,NaN,34.220118583532894,NaN
0.022,,95.321,28.204,5.554,,11.140282361184346,28.745652401711116,6.000,8.508,,4.000,NaN,39.405972955017425,NaN
0.025,,95.354,26.208,5.581,,12.021579569365816,26.795649367014786,6.000,12.501,,4.000,NaN,49.083154249961574,NaN
-0.065,,95.399,38.214,5.616,,8.360447290594562,38.624464423471295,6.000,2.492,,4.000,NaN,22.264203108170882,NaN
0.023,,95.405,28.216,5.630,,11.284156990462433,28.772201097587235,6.000,9.491,,4.000,NaN,41.85576537265492,NaN
0.026,,95.488,30.213,5.606,,10.511644384923088,30.728693512741476,6.000,6.474,,4.000,NaN,34.12350391223393,NaN
0.026,,95.539,39.212,5.598,,8.124783589426146,39.60957646832392,6.000,1.464,,4.000,NaN,18.652493327504455,NaN
0.000,,16.233,19.460,45.860,,67.00679147472476,49.81798068970681,2.000,8.446,,2.000,NaN,22.61435847094823,NaN
0.000,,16.183,18.120,45.807,,68.41759960787246,49.26069070770324,2.000,9.219,,2.000,NaN,24.386321276608403,NaN
0.000,,16.139,17.767,45.850,,68.81851468838485,49.172032589674394,2.000,6.695,,2.000,NaN,18.65416436628247,NaN
0.000,,16.135,17.777,45.926,,68.83961517904089,49.24651464824694,2.000,6.292,,2.000,NaN,17.754834828302908,NaN
0.000,,16.132,18.716,45.893,,67.81347160840936,49.562648284771875,2.000,6.791,,2.000,NaN,18.869114414969285,NaN
0.000,,16.116,19.055,45.774,,67.39880213845387,49.581771862247926,2.000,7.482,,2.000,NaN,20.42406716649045,NaN
