Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
MAZA,-106.47,23.330,-6.215,-8.238,,-127.0320226043302,10.319441312396714,0.100,0.100,,0.000,0.24476519360399265,0.24476519360399265,90
CABO,-109.864,22.918,21.322,-51.542,,-67.52599870992682,55.77818075197505,1.450,3.070,,0.000,7.514291443642573,3.5490953072578937,7.7766186936371655
MOCH,-109.09,25.690,-6.408,-5.916,,-137.28615400131036,8.721325587317562,1.760,3.670,,0.000,8.982882605266528,4.30786740743027,5.507429883912585
BLAG,127.521,50.257,-2.359,15.707,,98.54128949552474,15.883158690890173,0.200,0.200,,0.000,0.4895303872079853,0.4895303872079853,90
TAMB,128.028,50.257,-3.165,15.212,,101.7532472353086,15.537765894748189,0.220,0.190,,0.000,0.5384834259287837,0.46505386784758596,90
POLT,128.223,49.913,-2.761,16.205,,99.6691776903964,16.43852627214496,0.240,0.250,,0.000,0.6119129840099816,0.5874364646495823,89.71925292728392
TALA,130.014,50.101,-1.705,15.369,,96.3303714361471,15.463285097287704,0.220,0.220,,0.000,0.5384834259287837,0.5384834259287837,90
ARHA,130.220,49.407,-1.976,16.607,,96.78549166650605,16.724144970670398,0.180,0.210,,0.000,0.5140069065683844,0.4405773484871867,89.32966996573994
SUTA,131.602,48.954,-2.417,16.955,,98.11307003427925,17.12640983977669,0.200,0.220,,0.000,0.5384834259287837,0.4895303872079853,89.51872677142347
KHAJ,135.046,48.521,-2.925,16.038,,100.33596702538587,16.302547929694917,0.130,0.140,,0.000,0.3426712710455897,0.31819475168519046,89.84530177123065
A___,123.231,12.838,36.343,-19.292,,-27.960759320381822,41.14601940649909,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
B___,123.397,12.508,12.373,-12.531,,-45.36350030941534,17.610141680293207,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
C___,123.600,12.601,28.163,-22.029,,-38.03239310385515,35.75515920814785,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
D___,123.728,12.403,21.555,-18.037,,-39.92224274587914,28.106073969873485,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
E___,123.623,12.371,8.225,-5.757,,-34.9896825303818,10.039605271124955,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
F___,123.924,12.146,12.810,-17.104,,-53.16871208686019,21.369204851842287,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
G___,123.792,12.179,5.254,-10.573,,-63.57601769197157,11.80647470670225,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
H___,123.814,12.211,4.787,-10.334,,-65.14509851798145,11.388894810296563,2.000,2.000,,0.000,4.895303872079853,4.895303872079853,90
0001,124.654,11.108,-10.528,16.431,,122.64931424476963,19.51452138793058,5.000,13.000,,0.000,31.819475168519038,12.238259680199631,0.3978809618345933
0002,124.628,11.136,3.992,0.709,,10.071013237777938,4.0544722221270675,4.000,7.000,,0.000,17.133563552279483,9.790607744159706,1.735704588928389
0003,124.621,11.151,13.325,-6.749,,-26.861828961095807,14.93668724985564,5.000,10.000,,0.000,24.476519360399262,12.238259680199631,0.7638984609299951
0004,124.671,11.130,47.093,-50.705,,-47.115159140442124,69.20077798695618,8.000,18.000,,0.000,44.057734848718674,19.581215488319412,0.22036729612316266
0005,124.646,11.139,30.709,-16.582,,-28.367803976194022,34.89993416899235,5.000,7.000,,0.000,17.133563552279483,12.238259680199631,2.3859440303888126
0006,124.625,11.185,33.706,-36.052,,-46.92616270074198,49.354241357759726,4.000,10.000,,0.000,24.476519360399262,9.790607744159706,0.6820603931726519
