Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
1LSU,-91.18026346620002,30.4074245928,-0.63,-12.59,-3.49,-92.86467499513617,12.605752655038094,0.2,0.45,0.65,0.008,1.1014520469981892,0.48951086623638757,80.76993567992982
1NSU,-93.09760528099997,31.7508004942,-0.22999999999999998,-12.99,-1.48,-91.01436893329324,12.99203602211755,0.2,0.11,0.63,-0.037000000000000005,0.48967556516262456,0.26897758434981955,89.99864044108811
1ULM,-92.07590823830003,32.5290337844,-0.95,-13.01,-3.4499999999999997,-94.17636866245658,13.044638745477009,0.11,0.09000000000000001,0.47000000000000003,-0.04,0.26967334543633653,0.21976006634776554,89.99777537024923
AB04,-170.56744352479998,63.6568618725,-23.740000000000002,-1.03,-1.25,-177.5156838734815,23.762333639607032,0.16999999999999998,0.12,0.42000000000000004,-0.028999999999999998,0.41627426839153175,0.29347237259254044,89.99861933023227
AB06,-163.42345556700002,54.8853199019,-21.82,-8.01,0.8300000000000001,-159.8420961927296,23.24376260419126,0.15,0.12,0.32,-0.055,0.368119401844676,0.2924995828809298,89.99316779139623
AB07,-160.4767576181,55.3492723354,-16.56,-12.92,-0.6799999999999999,-142.03888612889338,21.00380917833715,0.2,0.11,0.36000000000000004,-0.035,0.48966030806365757,0.26900535813809356,89.99878333934758
AB09,-168.0621256238,65.6149787271,-23.61,-1.5199999999999998,-0.9,-176.31640988798367,23.65887782630444,0.13,0.12,0.33,-0.023,0.3186695793852398,0.29320299994105503,89.99710794675154
AB11,-165.37345910919998,64.56449349430001,-23.689999999999998,-2.0399999999999996,-1.01,-175.0782710259786,23.77767229986989,0.15,0.12,0.3,-0.033,0.3675011284703991,0.29327601431583733,89.99751747527839
AB12,-161.7462636822,58.950792936199996,-21.44,-9.18,-0.12,-156.82076398832245,23.322649935202474,0.39,0.3,0.77,-0.027000000000000003,0.9550870939314371,0.7336414267239836,89.99081644590959
AB13,-158.5037972873,56.307323913599994,-13.19,-14.969999999999999,-0.33999999999999997,-131.3831327373836,19.951867080551633,0.16999999999999998,0.18999999999999997,0.52,-0.11699999999999999,0.47536997774554124,0.4042751343555568,89.49470166420473
AB14,-159.0915330975,59.1081637379,-21.62,-7.13,0.35,-161.74810416292146,22.7653530611761,0.16999999999999998,0.15,0.4,-0.086,0.42096294718408406,0.3615627153041226,89.96107691146128
AB15,-159.8783623062,61.03975011520001,-23.84,-3.87,-0.43,-170.77948006820984,24.152070304634343,0.16,0.15,0.4,-0.021,0.3922348458336618,0.3664954647930088,89.99542308684329
