Station,Longitude,Latitude,NVel,Evel,UVel,Azimuth,Speed,sigN,sigE,sigU,rEN,EllipseSemiMaj,EllipseSemiMin,EllipseXAng
1LSU,-91.18026204289998,30.407424709,0.55,-0.11,-3.4799999999999995,-11.309932474020213,0.5608921464952064,0.2,0.45,0.65,0.008,1.1014520469981892,0.48951086623638757,80.76993567992982
1NSU,-93.09760379369999,31.750800681199998,1.67,-0.13,-1.47,-4.451174002886572,1.6750522379914008,0.2,0.11,0.63,-0.037000000000000005,0.48967556516262456,0.26897758434981955,89.99864044108811
1ULM,-92.07590670939999,32.529033933600005,0.5599999999999999,0.1,-3.4499999999999997,10.124671655397819,0.5688585061331156,0.11,0.09000000000000001,0.47000000000000003,-0.04,0.26967334543633653,0.21976006634776554,89.99777537024923
AB04,-170.5674427806,63.65686396,-2.5,2.34,-1.25,136.89338584574628,3.424266344781025,0.16999999999999998,0.12,0.42000000000000004,-0.028999999999999998,0.41627426839153175,0.29347237259254044,89.99861933023227
AB06,-163.4234546207,54.8853219428,-1.09,-2.4699999999999998,0.8300000000000001,-113.81165425097277,2.6998148084637212,0.15,0.12,0.32,-0.055,0.368119401844676,0.2924995828809298,89.99316779139623
AB07,-160.4767565085,55.349274346,3.8600000000000003,-6.5,-0.67,-59.296204386029515,7.559735445106528,0.2,0.11,0.36000000000000004,-0.035,0.48966030806365757,0.26900535813809356,89.99878333934758
AB09,-168.0621246285,65.6149808,-2.52,2.67,-0.9,133.3445134608807,3.6714166203251843,0.13,0.12,0.33,-0.023,0.3186695793852398,0.29320299994105503,89.99710794675154
AB11,-165.37345794830003,64.5644955482,-2.8,3.0399999999999996,-1.0199999999999998,132.6467031338917,4.132989232988637,0.15,0.12,0.3,-0.033,0.3675011284703991,0.29327601431583733,89.99751747527839
AB12,-161.746262511,58.9507949588,-0.88,-3.0300000000000002,-0.12,-106.19483176309753,3.1552020537518675,0.39,0.3,0.77,-0.027000000000000003,0.9550870939314371,0.7336414267239836,89.99081644590959
AB13,-158.5037960415,56.3073259007,7.0,-7.93,-0.33,-48.56438829712678,10.577565882564853,0.16999999999999998,0.18999999999999997,0.52,-0.11699999999999999,0.47536997774554124,0.4042751343555568,89.49470166420473
AB14,-159.09153176520002,59.108165730900005,-1.3599999999999999,-0.16999999999999998,0.35,-172.8749836510982,1.3705838172107534,0.16999999999999998,0.15,0.4,-0.086,0.42096294718408406,0.3615627153041226,89.96107691146128
AB15,-159.87836093080003,61.0397521167,-3.4799999999999995,2.91,-0.43,140.097399737979,4.536353160855094,0.16,0.15,0.4,-0.021,0.3922348458336618,0.3664954647930088,89.99542308684329
AB17,-160.6947304804,63.886358805,-4.3,2.3800000000000003,-1.07,151.03598203811399,4.914712606043206,0.18999999999999997,0.33,0.26,-0.013000000000000001,0.8077589790682216,0.4649950878607907,85.83569261542543
AB18,-162.61350719290002,66.8583626011,-4.47,1.24,-2.0399999999999996,164.4957236826449,4.638803725099824,0.24,0.33999999999999997,0.35,-0.006999999999999999,0.832221904371066,0.5874077816006491,86.68024245358177
